molfrac,T
0.3501,308.15
0.6499,308.15
0.25,308.15
0.75,308.15
0.147,308.15
0.853,308.15
0.0454,308.15
0.9546,308.15
0.86,308.142
0.14,308.142
0.753,308.142
0.247,308.142
0.663,308.142
0.337,308.142
0.514,308.142
0.486,308.142
0.359,308.142
0.641,308.142
0.269,308.142
0.731,308.142
0.86,323.137
0.14,323.137
0.753,323.137
0.247,323.137
0.663,323.137
0.337,323.137
0.514,323.137
0.486,323.137
0.359,323.137
0.641,323.137
0.269,323.137
0.731,323.137
0.86,298.144
0.14,298.144
0.753,298.144
0.247,298.144
0.663,298.144
0.337,298.144
0.514,298.144
0.486,298.144
0.359,298.144
0.641,298.144
0.269,298.144
0.731,298.144
0.9563,298.15
0.0437,298.15
0.9116,298.15
0.0884,298.15
0.817,298.15
0.183,298.15
0.7738,298.15
0.2262,298.15
0.7226,298.15
0.2774,298.15
0.6717,298.15
0.3283,298.15
0.6216,298.15
0.3784,298.15
0.5641,298.15
0.4359,298.15
0.512,298.15
0.488,298.15
0.4571,298.15
0.5429,298.15
0.4084,298.15
0.5916,298.15
0.3466,298.15
0.6534,298.15
0.295,298.15
0.705,298.15
0.2356,298.15
0.7644,298.15
0.191,298.15
0.809,298.15
0.1118,298.15
0.8882,298.15
0.0522,298.15
0.9478,298.15
0.9,303.15
0.1,303.15
0.801,303.15
0.199,303.15
0.7006,303.15
0.2994,303.15
0.6014,303.15
0.3986,303.15
0.4992,303.15
0.5008,303.15
0.4016,303.15
0.5984,303.15
0.2996,303.15
0.7004,303.15
0.202,303.15
0.798,303.15
0.0998,303.15
0.9002,303.15
0.5002,303.15
0.4998,303.15
0.8835,308.15
0.1165,308.15
0.8835,313.15
0.1165,313.15
0.8073,308.15
0.1927,308.15
0.8073,313.15
0.1927,313.15
0.7035,308.15
0.2965,308.15
0.7035,313.15
0.2965,313.15
0.5966,308.15
0.4034,308.15
0.5966,313.15
0.4034,313.15
0.4979,308.15
0.5021,308.15
0.4979,313.15
0.5021,313.15
0.4048,308.15
0.5952,308.15
0.4048,313.15
0.5952,313.15
0.3036,308.15
0.6964,308.15
0.3036,313.15
0.6964,313.15
0.2124,308.15
0.7876,308.15
0.2124,313.15
0.7876,313.15
0.0882,308.15
0.9118,308.15
0.0882,313.15
0.9118,313.15
0.0544,293.15
0.9456,293.15
0.1028,293.15
0.8972,293.15
0.2053,293.15
0.7947,293.15
0.3052,293.15
0.6948,293.15
0.4099,293.15
0.5901,293.15
0.5113,293.15
0.4887,293.15
0.6193,293.15
0.3807,293.15
0.7113,293.15
0.2887,293.15
0.8071,293.15
0.1929,293.15
0.9012,293.15
0.0988,293.15
0.0562,298.15
0.9438,298.15
0.1008,298.15
0.8992,298.15
0.1983,298.15
0.8017,298.15
0.2917,298.15
0.7083,298.15
0.3979,298.15
0.6021,298.15
0.5898,298.15
0.4102,298.15
0.7007,298.15
0.2993,298.15
0.7972,298.15
0.2028,298.15
0.8964,298.15
0.1036,298.15
0.0514582,308.15
0.948542,308.15
0.0970276,308.15
0.902972,308.15
0.186556,308.15
0.813444,308.15
0.296953,308.15
0.703047,308.15
0.398308,308.15
0.601692,308.15
0.0481462,313.15
0.951854,313.15
0.0975582,313.15
0.902442,313.15
0.19713,313.15
0.80287,313.15
0.294891,313.15
0.705109,313.15
0.397393,313.15
0.602607,313.15
0.490074,308.15
0.509926,308.15
0.591995,308.15
0.408005,308.15
0.701648,308.15
0.298352,308.15
0.79796,308.15
0.20204,308.15
0.898664,308.15
0.101336,308.15
0.490174,313.15
0.509826,313.15
0.596537,313.15
0.403463,313.15
0.695522,313.15
0.304478,313.15
0.796715,313.15
0.203285,313.15
0.896493,313.15
0.103507,313.15
0.8995,308.15
0.1005,308.15
0.6997,308.15
0.3003,308.15
0.6053,308.15
0.3947,308.15
0.509,308.15
0.491,308.15
0.4036,308.15
0.5964,308.15
0.2953,308.15
0.7047,308.15
0.2154,308.15
0.7846,308.15
0.0914,308.15
0.9086,308.15
0.8995,313.15
0.1005,313.15
0.6997,313.15
0.3003,313.15
0.6053,313.15
0.3947,313.15
0.509,313.15
0.491,313.15
0.4036,313.15
0.5964,313.15
0.2953,313.15
0.7047,313.15
0.2154,313.15
0.7846,313.15
0.0914,313.15
0.9086,313.15
0.989245,303.15
0.0107547,303.15
0.979462,303.15
0.0205375,303.15
0.969791,303.15
0.0302087,303.15
0.955953,303.15
0.0440473,303.15
0.949659,303.15
0.0503411,303.15
0.936757,303.15
0.0632426,303.15
0.929024,303.15
0.070976,303.15
0.920598,303.15
0.0794024,303.15
0.905917,303.15
0.0940827,303.15
0.899739,303.15
0.100261,303.15
0.8966,308.15
0.1034,308.15
0.7952,308.15
0.2048,308.15
0.7069,308.15
0.2931,308.15
0.6246,308.15
0.3754,308.15
0.512,308.15
0.488,308.15
0.3101,308.15
0.6899,308.15
0.1949,308.15
0.8051,308.15
0.8966,313.15
0.1034,313.15
0.7952,313.15
0.2048,313.15
0.7069,313.15
0.2931,313.15
0.6246,313.15
0.3754,313.15
0.512,313.15
0.488,313.15
0.4071,313.15
0.5929,313.15
0.3101,313.15
0.6899,313.15
0.1949,313.15
0.8051,313.15
0.1021,313.15
0.8979,313.15
0.8003,313.15
0.1997,313.15
0.6024,313.15
0.3976,313.15
0.3975,313.15
0.6025,313.15
0.1995,313.15
0.8005,313.15
0.8003,333.15
0.1997,333.15
0.6024,333.15
0.3976,333.15
0.3975,333.15
0.6025,333.15
0.1995,333.15
0.8005,333.15
0.8849,308.15
0.1151,308.15
0.8849,313.15
0.1151,313.15
0.7783,308.15
0.2217,308.15
0.7783,313.15
0.2217,313.15
0.7003,308.15
0.2997,308.15
0.7003,313.15
0.2997,313.15
0.6122,308.15
0.3878,308.15
0.6122,313.15
0.3878,313.15
0.5195,308.15
0.4805,308.15
0.5195,313.15
0.4805,313.15
0.4104,308.15
0.5896,308.15
0.4104,313.15
0.5896,313.15
0.3105,308.15
0.6895,308.15
0.3105,313.15
0.6895,313.15
0.2007,308.15
0.7993,308.15
0.2007,313.15
0.7993,313.15
0.1269,308.15
0.8731,308.15
0.1269,313.15
0.8731,313.15
0.4997,293.15
0.5003,293.15
0.4997,303.15
0.5003,303.15
0.4997,313.15
0.5003,313.15
0.9001,298.15
0.0999,298.15
0.7522,298.15
0.2478,298.15
0.6,298.15
0.4,298.15
0.4524,298.15
0.5476,298.15
0.3007,298.15
0.6993,298.15
0.1465,298.15
0.8535,298.15
0.8492,298.15
0.1508,298.15
0.6992,298.15
0.3008,298.15
0.5444,298.15
0.4556,298.15
0.4162,298.15
0.5838,298.15
0.2526,298.15
0.7474,298.15
0.1023,298.15
0.8977,298.15
0.2,343.15
0.8,343.15
0.3002,343.15
0.6998,343.15
0.4013,343.15
0.5987,343.15
0.5002,343.15
0.4998,343.15
0.6001,343.15
0.3999,343.15
0.7002,343.15
0.2998,343.15
0.8001,343.15
0.1999,343.15
0.9,343.15
0.1,343.15
0.1007,353.15
0.8993,353.15
0.2,353.15
0.8,353.15
0.3002,353.15
0.6998,353.15
0.4013,353.15
0.5987,353.15
0.5002,353.15
0.4998,353.15
0.7002,353.15
0.2998,353.15
0.8001,353.15
0.1999,353.15
0.1007,363.15
0.8993,363.15
0.2,363.15
0.8,363.15
0.3002,363.15
0.6998,363.15
0.4013,363.15
0.5987,363.15
0.5002,363.15
0.4998,363.15
0.7002,363.15
0.2998,363.15
0.8001,363.15
0.1999,363.15
0.9,363.15
0.1,363.15
0.1007,373.15
0.8993,373.15
0.2,373.15
0.8,373.15
0.3002,373.15
0.6998,373.15
0.4013,373.15
0.5987,373.15
0.5002,373.15
0.4998,373.15
0.6001,373.15
0.3999,373.15
0.7002,373.15
0.2998,373.15
0.2,293.15
0.8,293.15
0.3002,293.15
0.6998,293.15
0.4013,293.15
0.5987,293.15
0.5002,293.15
0.4998,293.15
0.6001,293.15
0.3999,293.15
0.7002,293.15
0.2998,293.15
0.8001,293.15
0.1999,293.15
0.9,293.15
0.1,293.15
0.1007,303.15
0.8993,303.15
0.2,303.15
0.8,303.15
0.3002,303.15
0.6998,303.15
0.4013,303.15
0.5987,303.15
0.5002,303.15
0.4998,303.15
0.6001,303.15
0.3999,303.15
0.7002,303.15
0.2998,303.15
0.8001,303.15
0.1999,303.15
0.9,303.15
0.1,303.15
0.1007,323.15
0.8993,323.15
0.2,323.15
0.8,323.15
0.3002,323.15
0.6998,323.15
0.4013,323.15
0.5987,323.15
0.5002,323.15
0.4998,323.15
0.6001,323.15
0.3999,323.15
0.7002,323.15
0.2998,323.15
0.8001,323.15
0.1999,323.15
0.9,323.15
0.1,323.15
0.1007,333.15
0.8993,333.15
0.2,333.15
0.8,333.15
0.3002,333.15
0.6998,333.15
0.4013,333.15
0.5987,333.15
0.5002,333.15
0.4998,333.15
0.6001,333.15
0.3999,333.15
0.7002,333.15
0.2998,333.15
0.8001,333.15
0.1999,333.15
