MOL_1,MOL_2,logV
CC1COC(=O)O1,COc1ccccc1,-6.28457
COc1ccccc1,CC1COC(=O)O1,-7.33623
CC1COC(=O)O1,COc1ccccc1,-6.2732
COc1ccccc1,Cc1cccc(C)c1,-6.90267
Cc1cccc(C)c1,COc1ccccc1,-7.32855
Cc1cccc(C)c1,COc1ccccc1,-7.32185
COc1ccccc1,Cc1cccc(C)c1,-6.75667
COc1ccccc1,Cc1cccc(C)c1,-6.82861
Cc1cccc(C)c1,COc1ccccc1,-7.34446
COc1ccccc1,Cc1cccc(C)c1,-6.80532
Cc1cccc(C)c1,COc1ccccc1,-7.35487
COc1ccccc1,Cc1cccc(C)c1,-6.79943
Cc1cccc(C)c1,COc1ccccc1,-7.35933
COc1ccccc1,Cc1cccc(C)c1,-6.79336
Cc1cccc(C)c1,COc1ccccc1,-7.36837
COc1ccccc1,Cc1cccc(C)c1,-6.78382
Cc1cccc(C)c1,COc1ccccc1,-7.39184
COc1ccccc1,Cc1cccc(C)c1,-6.77172
Cc1cccc(C)c1,COc1ccccc1,-7.44113
COc1ccccc1,Cc1cccc(C)c1,-6.76244
Cc1cccc(C)c1,COc1ccccc1,-7.50946
COc1ccccc1,Cc1cccc(C)c1,-6.75825
Cc1cccc(C)c1,COc1ccccc1,-7.57108
COc1ccccc1,Cc1cccc(C)c1,-6.99568
Cc1cccc(C)c1,COc1ccccc1,-7.38862
Cc1cccc(C)c1,COc1ccccc1,-7.38341
COc1ccccc1,Cc1cccc(C)c1,-6.8426
COc1ccccc1,Cc1cccc(C)c1,-6.93307
Cc1cccc(C)c1,COc1ccccc1,-7.40225
COc1ccccc1,Cc1cccc(C)c1,-6.90712
Cc1cccc(C)c1,COc1ccccc1,-7.41411
COc1ccccc1,Cc1cccc(C)c1,-6.89392
Cc1cccc(C)c1,COc1ccccc1,-7.42449
COc1ccccc1,Cc1cccc(C)c1,-6.87959
Cc1cccc(C)c1,COc1ccccc1,-7.44479
COc1ccccc1,Cc1cccc(C)c1,-6.86765
Cc1cccc(C)c1,COc1ccccc1,-7.47379
COc1ccccc1,Cc1cccc(C)c1,-6.85567
Cc1cccc(C)c1,COc1ccccc1,-7.52223
COc1ccccc1,Cc1cccc(C)c1,-6.84744
Cc1cccc(C)c1,COc1ccccc1,-7.58263
COc1ccccc1,Cc1cccc(C)c1,-6.8439
Cc1cccc(C)c1,COc1ccccc1,-7.63447
COc1ccccc1,Cc1cccc(C)c1,-7.08341
Cc1cccc(C)c1,COc1ccccc1,-7.44674
Cc1cccc(C)c1,COc1ccccc1,-7.44295
COc1ccccc1,Cc1cccc(C)c1,-6.92349
COc1ccccc1,Cc1cccc(C)c1,-7.03186
Cc1cccc(C)c1,COc1ccccc1,-7.45816
COc1ccccc1,Cc1cccc(C)c1,-7.00333
Cc1cccc(C)c1,COc1ccccc1,-7.47141
COc1ccccc1,Cc1cccc(C)c1,-6.98307
Cc1cccc(C)c1,COc1ccccc1,-7.48752
COc1ccccc1,Cc1cccc(C)c1,-6.96076
Cc1cccc(C)c1,COc1ccccc1,-7.51871
COc1ccccc1,Cc1cccc(C)c1,-6.9465
Cc1cccc(C)c1,COc1ccccc1,-7.55305
COc1ccccc1,Cc1cccc(C)c1,-6.93464
Cc1cccc(C)c1,COc1ccccc1,-7.60065
COc1ccccc1,Cc1cccc(C)c1,-6.92742
Cc1cccc(C)c1,COc1ccccc1,-7.65341
COc1ccccc1,Cc1cccc(C)c1,-6.92452
Cc1cccc(C)c1,COc1ccccc1,-7.69578
COc1ccccc1,Cc1cccc(C)c1,-7.16642
Cc1cccc(C)c1,COc1ccccc1,-7.50299
Cc1cccc(C)c1,COc1ccccc1,-7.50059
COc1ccccc1,Cc1cccc(C)c1,-6.99989
COc1ccccc1,Cc1cccc(C)c1,-7.12557
Cc1cccc(C)c1,COc1ccccc1,-7.51228
COc1ccccc1,Cc1cccc(C)c1,-7.09455
Cc1cccc(C)c1,COc1ccccc1,-7.52688
COc1ccccc1,Cc1cccc(C)c1,-7.06746
Cc1cccc(C)c1,COc1ccccc1,-7.54852
COc1ccccc1,Cc1cccc(C)c1,-7.03744
Cc1cccc(C)c1,COc1ccccc1,-7.59024
COc1ccccc1,Cc1cccc(C)c1,-7.02093
Cc1cccc(C)c1,COc1ccccc1,-7.62975
COc1ccccc1,Cc1cccc(C)c1,-7.00919
Cc1cccc(C)c1,COc1ccccc1,-7.67654
COc1ccccc1,Cc1cccc(C)c1,-7.00293
Cc1cccc(C)c1,COc1ccccc1,-7.7219
COc1ccccc1,Cc1cccc(C)c1,-7.00065
Cc1cccc(C)c1,COc1ccccc1,-7.75513
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.88656
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.21666
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.21177
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.75667
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.83011
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.22354
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.85224
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.2152
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.84422
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.22373
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.79988
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.28263
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.75959
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.37175
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.74948
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.40748
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.74808
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.41356
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.75296
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.36089
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.97803
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.2818
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.27776
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.8426
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.93603
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.28678
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.95502
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.27995
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.9347
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.29739
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.88369
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.36471
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.84188
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.45679
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.83248
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.48985
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.83226
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.48934
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.83838
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.42417
COc1ccccc1,Cc1cc(C)cc(C)c1,-7.06426
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.34518
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.34198
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.92349
COc1ccccc1,Cc1cc(C)cc(C)c1,-7.03624
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.34833
COc1ccccc1,Cc1cc(C)cc(C)c1,-7.05218
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.34296
COc1ccccc1,Cc1cc(C)cc(C)c1,-7.01998
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.36901
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.96252
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.44448
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.91923
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.53942
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.91052
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.5699
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.91145
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.56301
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.91877
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.48576
COc1ccccc1,Cc1cc(C)cc(C)c1,-7.14584
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.40689
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.40449
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.99989
COc1ccccc1,Cc1cc(C)cc(C)c1,-7.13132
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.40826
COc1ccccc1,Cc1cc(C)cc(C)c1,-7.14432
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.40431
COc1ccccc1,Cc1cc(C)cc(C)c1,-7.10063
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.43868
COc1ccccc1,Cc1cc(C)cc(C)c1,-7.03693
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.52203
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.99222
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.61973
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.98417
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.64771
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.98621
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.63466
COc1ccccc1,Cc1cc(C)cc(C)c1,-6.99469
Cc1cc(C)cc(C)c1,COc1ccccc1,-7.54574
COc1ccccc1,Cc1ccccc1,-6.87332
Cc1ccccc1,COc1ccccc1,-7.43223
Cc1ccccc1,COc1ccccc1,-7.43136
COc1ccccc1,Cc1ccccc1,-6.8426
COc1ccccc1,Cc1ccccc1,-7.04823
Cc1ccccc1,COc1ccccc1,-7.55106
Cc1ccccc1,COc1ccccc1,-7.5505
COc1ccccc1,Cc1ccccc1,-6.99989
COc1ccccc1,Cc1ccccc1,-6.86157
Cc1ccccc1,COc1ccccc1,-7.43419
COc1ccccc1,Cc1ccccc1,-7.03795
Cc1ccccc1,COc1ccccc1,-7.55282
COc1ccccc1,Cc1ccccc1,-6.85472
Cc1ccccc1,COc1ccccc1,-7.43635
COc1ccccc1,Cc1ccccc1,-7.02902
Cc1ccccc1,COc1ccccc1,-7.55569
COc1ccccc1,Cc1ccccc1,-6.85059
Cc1ccccc1,COc1ccccc1,-7.43846
COc1ccccc1,Cc1ccccc1,-7.02072
Cc1ccccc1,COc1ccccc1,-7.56001
COc1ccccc1,Cc1ccccc1,-6.8482
Cc1ccccc1,COc1ccccc1,-7.44038
COc1ccccc1,Cc1ccccc1,-7.01333
Cc1ccccc1,COc1ccccc1,-7.56603
COc1ccccc1,Cc1ccccc1,-6.84691
Cc1ccccc1,COc1ccccc1,-7.44197
COc1ccccc1,Cc1ccccc1,-7.00837
Cc1ccccc1,COc1ccccc1,-7.57212
COc1ccccc1,Cc1ccccc1,-6.84567
Cc1ccccc1,COc1ccccc1,-7.44428
COc1ccccc1,Cc1ccccc1,-7.0044
Cc1ccccc1,COc1ccccc1,-7.57944
COc1ccccc1,Cc1ccccc1,-6.84443
Cc1ccccc1,COc1ccccc1,-7.44801
COc1ccccc1,Cc1ccccc1,-7.00185
Cc1ccccc1,COc1ccccc1,-7.58696
COc1ccccc1,Cc1ccccc1,-6.84319
Cc1ccccc1,COc1ccccc1,-7.45509
COc1ccccc1,Cc1ccccc1,-7.00034
Cc1ccccc1,COc1ccccc1,-7.5953
COc1ccccc1,Cc1ccccc1,-6.77511
Cc1ccccc1,COc1ccccc1,-7.36994
Cc1ccccc1,COc1ccccc1,-7.36856
COc1ccccc1,Cc1ccccc1,-6.75667
COc1ccccc1,Cc1ccccc1,-6.76413
Cc1ccccc1,COc1ccccc1,-7.37202
COc1ccccc1,Cc1ccccc1,-6.75923
Cc1ccccc1,COc1ccccc1,-7.3737
COc1ccccc1,Cc1ccccc1,-6.75782
Cc1ccccc1,COc1ccccc1,-7.37444
COc1ccccc1,Cc1ccccc1,-6.7583
Cc1ccccc1,COc1ccccc1,-7.37398
COc1ccccc1,Cc1ccccc1,-6.75888
Cc1ccccc1,COc1ccccc1,-7.37321
COc1ccccc1,Cc1ccccc1,-6.75884
Cc1ccccc1,COc1ccccc1,-7.37341
COc1ccccc1,Cc1ccccc1,-6.75771
Cc1ccccc1,COc1ccccc1,-7.37838
COc1ccccc1,Cc1ccccc1,-6.75705
Cc1ccccc1,COc1ccccc1,-7.38418
COc1ccccc1,Cc1ccccc1,-6.87066
Cc1ccccc1,COc1ccccc1,-7.43254
Cc1ccccc1,COc1ccccc1,-7.43136
COc1ccccc1,Cc1ccccc1,-6.8426
COc1ccccc1,Cc1ccccc1,-6.86001
Cc1ccccc1,COc1ccccc1,-7.43459
COc1ccccc1,Cc1ccccc1,-6.85377
Cc1ccccc1,COc1ccccc1,-7.43676
COc1ccccc1,Cc1ccccc1,-6.84992
Cc1ccccc1,COc1ccccc1,-7.43892
COc1ccccc1,Cc1ccccc1,-6.84786
Cc1ccccc1,COc1ccccc1,-7.44074
COc1ccccc1,Cc1ccccc1,-6.84663
Cc1ccccc1,COc1ccccc1,-7.4424
COc1ccccc1,Cc1ccccc1,-6.84518
Cc1ccccc1,COc1ccccc1,-7.44554
COc1ccccc1,Cc1ccccc1,-6.84357
Cc1ccccc1,COc1ccccc1,-7.45229
COc1ccccc1,Cc1ccccc1,-6.84293
Cc1ccccc1,COc1ccccc1,-7.45784
COc1ccccc1,Cc1ccccc1,-6.96084
Cc1ccccc1,COc1ccccc1,-7.49293
Cc1ccccc1,COc1ccccc1,-7.49194
COc1ccccc1,Cc1ccccc1,-6.92349
COc1ccccc1,Cc1ccccc1,-6.95051
Cc1ccccc1,COc1ccccc1,-7.49493
COc1ccccc1,Cc1ccccc1,-6.94297
Cc1ccccc1,COc1ccccc1,-7.49759
COc1ccccc1,Cc1ccccc1,-6.93677
Cc1ccccc1,COc1ccccc1,-7.50111
COc1ccccc1,Cc1ccccc1,-6.93225
Cc1ccccc1,COc1ccccc1,-7.50514
COc1ccccc1,Cc1ccccc1,-6.92927
Cc1ccccc1,COc1ccccc1,-7.50915
COc1ccccc1,Cc1ccccc1,-6.92646
Cc1ccccc1,COc1ccccc1,-7.51514
COc1ccccc1,Cc1ccccc1,-6.92438
Cc1ccccc1,COc1ccccc1,-7.52359
COc1ccccc1,Cc1ccccc1,-6.92377
Cc1ccccc1,COc1ccccc1,-7.52891
COc1ccccc1,Cc1ccccc1,-7.04622
Cc1ccccc1,COc1ccccc1,-7.5513
Cc1ccccc1,COc1ccccc1,-7.5505
COc1ccccc1,Cc1ccccc1,-6.99989
COc1ccccc1,Cc1ccccc1,-7.03621
Cc1ccccc1,COc1ccccc1,-7.55327
COc1ccccc1,Cc1ccccc1,-7.02741
Cc1ccccc1,COc1ccccc1,-7.55639
COc1ccccc1,Cc1ccccc1,-7.01893
Cc1ccccc1,COc1ccccc1,-7.56123
COc1ccccc1,Cc1ccccc1,-7.01204
Cc1ccccc1,COc1ccccc1,-7.5674
COc1ccccc1,Cc1ccccc1,-7.00737
Cc1ccccc1,COc1ccccc1,-7.57368
COc1ccccc1,Cc1ccccc1,-7.00323
Cc1ccccc1,COc1ccccc1,-7.58242
COc1ccccc1,Cc1ccccc1,-7.00071
Cc1ccccc1,COc1ccccc1,-7.59253
COc1ccccc1,Cc1ccccc1,-7.00012
Cc1ccccc1,COc1ccccc1,-7.59761
COc1ccccc1,Clc1ccccc1,-6.86224
Clc1ccccc1,COc1ccccc1,-7.1823
Clc1ccccc1,COc1ccccc1,-7.18297
COc1ccccc1,Clc1ccccc1,-6.92349
COc1ccccc1,Clc1ccccc1,-6.87415
Clc1ccccc1,COc1ccccc1,-7.1802
COc1ccccc1,Clc1ccccc1,-6.88451
Clc1ccccc1,COc1ccccc1,-7.17678
COc1ccccc1,Clc1ccccc1,-6.89445
Clc1ccccc1,COc1ccccc1,-7.17149
COc1ccccc1,Clc1ccccc1,-6.90327
Clc1ccccc1,COc1ccccc1,-7.16426
COc1ccccc1,Clc1ccccc1,-6.91017
Clc1ccccc1,COc1ccccc1,-7.15576
COc1ccccc1,Clc1ccccc1,-6.91588
Clc1ccccc1,COc1ccccc1,-7.14513
COc1ccccc1,Clc1ccccc1,-6.92002
Clc1ccccc1,COc1ccccc1,-7.13271
COc1ccccc1,Clc1ccccc1,-6.9226
Clc1ccccc1,COc1ccccc1,-7.11806
COc1ccccc1,Clc1ccccc1,-6.91689
Clc1ccccc1,COc1ccccc1,-7.24054
Clc1ccccc1,COc1ccccc1,-7.24173
COc1ccccc1,Clc1ccccc1,-6.99989
COc1ccccc1,Clc1ccccc1,-6.93669
Clc1ccccc1,COc1ccccc1,-7.23707
COc1ccccc1,Clc1ccccc1,-6.9526
Clc1ccccc1,COc1ccccc1,-7.23183
COc1ccccc1,Clc1ccccc1,-6.96669
Clc1ccccc1,COc1ccccc1,-7.22436
COc1ccccc1,Clc1ccccc1,-6.97815
Clc1ccccc1,COc1ccccc1,-7.21499
COc1ccccc1,Clc1ccccc1,-6.98639
Clc1ccccc1,COc1ccccc1,-7.20487
COc1ccccc1,Clc1ccccc1,-6.99264
Clc1ccccc1,COc1ccccc1,-7.19327
COc1ccccc1,Clc1ccccc1,-6.99678
Clc1ccccc1,COc1ccccc1,-7.18088
COc1ccccc1,Clc1ccccc1,-6.99915
Clc1ccccc1,COc1ccccc1,-7.16757
COc1ccccc1,Clc1ccccc1,-6.96823
Clc1ccccc1,COc1ccccc1,-7.29672
Clc1ccccc1,COc1ccccc1,-7.29841
COc1ccccc1,Clc1ccccc1,-7.07228
COc1ccccc1,Clc1ccccc1,-6.99567
Clc1ccccc1,COc1ccccc1,-7.29191
COc1ccccc1,Clc1ccccc1,-7.01695
Clc1ccccc1,COc1ccccc1,-7.28492
COc1ccccc1,Clc1ccccc1,-7.03505
Clc1ccccc1,COc1ccccc1,-7.27534
COc1ccccc1,Clc1ccccc1,-7.04908
Clc1ccccc1,COc1ccccc1,-7.26389
COc1ccccc1,Clc1ccccc1,-7.05861
Clc1ccccc1,COc1ccccc1,-7.25222
COc1ccccc1,Clc1ccccc1,-7.06538
Clc1ccccc1,COc1ccccc1,-7.23968
COc1ccccc1,Clc1ccccc1,-7.06952
Clc1ccccc1,COc1ccccc1,-7.22732
COc1ccccc1,Clc1ccccc1,-7.07168
Clc1ccccc1,COc1ccccc1,-7.21531
COc1ccccc1,Clc1ccccc1,-7.01665
Clc1ccccc1,COc1ccccc1,-7.35099
Clc1ccccc1,COc1ccccc1,-7.35317
COc1ccccc1,Clc1ccccc1,-7.14107
COc1ccccc1,Clc1ccccc1,-7.05148
Clc1ccccc1,COc1ccccc1,-7.3449
COc1ccccc1,Clc1ccccc1,-7.07796
Clc1ccccc1,COc1ccccc1,-7.33621
COc1ccccc1,Clc1ccccc1,-7.09995
Clc1ccccc1,COc1ccccc1,-7.32459
COc1ccccc1,Clc1ccccc1,-7.11645
Clc1ccccc1,COc1ccccc1,-7.31113
COc1ccccc1,Clc1ccccc1,-7.12723
Clc1ccccc1,COc1ccccc1,-7.29794
COc1ccccc1,Clc1ccccc1,-7.13451
Clc1ccccc1,COc1ccccc1,-7.2845
COc1ccccc1,Clc1ccccc1,-7.13866
Clc1ccccc1,COc1ccccc1,-7.27217
COc1ccccc1,Clc1ccccc1,-7.1406
Clc1ccccc1,COc1ccccc1,-7.26141
COc1ccccc1,Clc1ccccc1,-6.74129
Clc1ccccc1,COc1ccccc1,-7.05885
Clc1ccccc1,COc1ccccc1,-7.05844
COc1ccccc1,Clc1ccccc1,-6.75667
COc1ccccc1,Clc1ccccc1,-6.73673
Clc1ccccc1,COc1ccccc1,-7.05959
COc1ccccc1,Clc1ccccc1,-6.73518
Clc1ccccc1,COc1ccccc1,-7.06005
COc1ccccc1,Clc1ccccc1,-6.73615
Clc1ccccc1,COc1ccccc1,-7.0595
COc1ccccc1,Clc1ccccc1,-6.73927
Clc1ccccc1,COc1ccccc1,-7.05699
COc1ccccc1,Clc1ccccc1,-6.75212
Clc1ccccc1,COc1ccccc1,-7.0316
COc1ccccc1,Clc1ccccc1,-6.7556
Clc1ccccc1,COc1ccccc1,-7.0119
COc1ccccc1,Clc1ccccc1,-6.80379
Clc1ccccc1,COc1ccccc1,-7.12182
Clc1ccccc1,COc1ccccc1,-7.12195
COc1ccccc1,Clc1ccccc1,-6.8426
COc1ccccc1,Clc1ccccc1,-6.80726
Clc1ccccc1,COc1ccccc1,-7.12121
COc1ccccc1,Clc1ccccc1,-6.81188
Clc1ccccc1,COc1ccccc1,-7.11973
COc1ccccc1,Clc1ccccc1,-6.81725
Clc1ccccc1,COc1ccccc1,-7.11696
COc1ccccc1,Clc1ccccc1,-6.82338
Clc1ccccc1,COc1ccccc1,-7.1121
COc1ccccc1,Clc1ccccc1,-6.83846
Clc1ccccc1,COc1ccccc1,-7.08374
COc1ccccc1,Clc1ccccc1,-6.84167
Clc1ccccc1,COc1ccccc1,-7.06564
COc1ccccc1,Clc1ccccc1,-6.86201
Clc1ccccc1,COc1ccccc1,-7.18233
Clc1ccccc1,COc1ccccc1,-7.18297
COc1ccccc1,Clc1ccccc1,-6.92349
COc1ccccc1,Clc1ccccc1,-6.87327
Clc1ccccc1,COc1ccccc1,-7.18042
COc1ccccc1,Clc1ccccc1,-6.88385
Clc1ccccc1,COc1ccccc1,-7.17706
COc1ccccc1,Clc1ccccc1,-6.9025
Clc1ccccc1,COc1ccccc1,-7.16502
COc1ccccc1,Clc1ccccc1,-6.91974
Clc1ccccc1,COc1ccccc1,-7.13377
COc1ccccc1,Clc1ccccc1,-6.91409
Clc1ccccc1,COc1ccccc1,-7.24083
Clc1ccccc1,COc1ccccc1,-7.24173
COc1ccccc1,Clc1ccccc1,-6.99989
COc1ccccc1,Clc1ccccc1,-6.93547
Clc1ccccc1,COc1ccccc1,-7.23736
COc1ccccc1,Clc1ccccc1,-6.95135
Clc1ccccc1,COc1ccccc1,-7.23235
COc1ccccc1,Clc1ccccc1,-6.96447
Clc1ccccc1,COc1ccccc1,-7.22578
COc1ccccc1,Clc1ccccc1,-6.97694
Clc1ccccc1,COc1ccccc1,-7.21618
COc1ccccc1,Clc1ccccc1,-6.98507
Clc1ccccc1,COc1ccccc1,-7.20679
COc1ccccc1,Clc1ccccc1,-6.99216
Clc1ccccc1,COc1ccccc1,-7.19438
COc1ccccc1,Clc1ccccc1,-6.99608
Clc1ccccc1,COc1ccccc1,-7.18352
COc1ccccc1,Clc1ccccc1,-6.999
Clc1ccccc1,COc1ccccc1,-7.16882
COc1ccccc1,C1CCCCC1,-7.64729
C1CCCCC1,COc1ccccc1,-7.04366
C1CCCCC1,COc1ccccc1,-7.02024
COc1ccccc1,C1CCCCC1,-6.92349
COc1ccccc1,C1CCCCC1,-7.39816
C1CCCCC1,COc1ccccc1,-7.08641
COc1ccccc1,C1CCCCC1,-7.25265
C1CCCCC1,COc1ccccc1,-7.13406
COc1ccccc1,C1CCCCC1,-7.15799
C1CCCCC1,COc1ccccc1,-7.18481
COc1ccccc1,C1CCCCC1,-7.07837
C1CCCCC1,COc1ccccc1,-7.25023
COc1ccccc1,C1CCCCC1,-7.00939
C1CCCCC1,COc1ccccc1,-7.33523
COc1ccccc1,C1CCCCC1,-6.95379
C1CCCCC1,COc1ccccc1,-7.43948
COc1ccccc1,C1CCCCC1,-6.92428
C1CCCCC1,COc1ccccc1,-7.52732
COc1ccccc1,C1CCCCC1,-6.91825
C1CCCCC1,COc1ccccc1,-7.55444
COc1ccccc1,C1CCCCC1,-7.68195
C1CCCCC1,COc1ccccc1,-7.12658
C1CCCCC1,COc1ccccc1,-7.10501
COc1ccccc1,C1CCCCC1,-6.99989
COc1ccccc1,C1CCCCC1,-7.44757
C1CCCCC1,COc1ccccc1,-7.16689
COc1ccccc1,C1CCCCC1,-7.30626
C1CCCCC1,COc1ccccc1,-7.21322
COc1ccccc1,C1CCCCC1,-7.21269
C1CCCCC1,COc1ccccc1,-7.26339
COc1ccccc1,C1CCCCC1,-7.13525
C1CCCCC1,COc1ccccc1,-7.32695
COc1ccccc1,C1CCCCC1,-7.07057
C1CCCCC1,COc1ccccc1,-7.40653
COc1ccccc1,C1CCCCC1,-7.0208
C1CCCCC1,COc1ccccc1,-7.49966
COc1ccccc1,C1CCCCC1,-6.99637
C1CCCCC1,COc1ccccc1,-7.57199
COc1ccccc1,C1CCCCC1,-6.99371
C1CCCCC1,COc1ccccc1,-7.58019
COc1ccccc1,C1CCCCC1,-7.71396
C1CCCCC1,COc1ccccc1,-7.2056
C1CCCCC1,COc1ccccc1,-7.18581
COc1ccccc1,C1CCCCC1,-7.07228
COc1ccccc1,C1CCCCC1,-7.49384
C1CCCCC1,COc1ccccc1,-7.24353
COc1ccccc1,C1CCCCC1,-7.3566
C1CCCCC1,COc1ccccc1,-7.2886
COc1ccccc1,C1CCCCC1,-7.26409
C1CCCCC1,COc1ccccc1,-7.33819
COc1ccccc1,C1CCCCC1,-7.18875
C1CCCCC1,COc1ccccc1,-7.39997
COc1ccccc1,C1CCCCC1,-7.12824
C1CCCCC1,COc1ccccc1,-7.4743
COc1ccccc1,C1CCCCC1,-7.08411
C1CCCCC1,COc1ccccc1,-7.55666
COc1ccccc1,C1CCCCC1,-7.06459
C1CCCCC1,COc1ccccc1,-7.614
COc1ccccc1,C1CCCCC1,-7.06519
C1CCCCC1,COc1ccccc1,-7.60388
COc1ccccc1,C1CCCCC1,-7.74366
C1CCCCC1,COc1ccccc1,-7.28108
C1CCCCC1,COc1ccccc1,-7.26302
COc1ccccc1,C1CCCCC1,-7.14107
COc1ccccc1,C1CCCCC1,-7.53734
C1CCCCC1,COc1ccccc1,-7.31671
COc1ccccc1,C1CCCCC1,-7.40405
C1CCCCC1,COc1ccccc1,-7.36054
COc1ccccc1,C1CCCCC1,-7.31256
C1CCCCC1,COc1ccccc1,-7.40959
COc1ccccc1,C1CCCCC1,-7.23925
C1CCCCC1,COc1ccccc1,-7.46963
COc1ccccc1,C1CCCCC1,-7.18278
C1CCCCC1,COc1ccccc1,-7.53889
COc1ccccc1,C1CCCCC1,-7.14411
C1CCCCC1,COc1ccccc1,-7.61083
COc1ccccc1,C1CCCCC1,-7.12934
C1CCCCC1,COc1ccccc1,-7.65365
COc1ccccc1,C1CCCCC1,-7.1331
C1CCCCC1,COc1ccccc1,-7.62581
COc1ccccc1,C1CCCCC1,-8.0019
C1CCCCC1,COc1ccccc1,-7.10636
C1CCCCC1,COc1ccccc1,-7.10501
COc1ccccc1,C1CCCCC1,-6.99989
COc1ccccc1,C1CCCCC1,-7.92417
C1CCCCC1,COc1ccccc1,-7.10879
COc1ccccc1,C1CCCCC1,-7.82558
C1CCCCC1,COc1ccccc1,-7.11395
COc1ccccc1,C1CCCCC1,-7.14846
C1CCCCC1,COc1ccccc1,-7.31414
COc1ccccc1,C1CCCCC1,-7.12424
C1CCCCC1,COc1ccccc1,-7.33838
COc1ccccc1,C1CCCCC1,-7.10824
C1CCCCC1,COc1ccccc1,-7.35635
COc1ccccc1,C1CCCCC1,-7.08757
C1CCCCC1,COc1ccccc1,-7.38234
COc1ccccc1,C1CCCCC1,-7.00063
C1CCCCC1,COc1ccccc1,-7.55627
COc1ccccc1,C1CCCCC1,-6.99349
C1CCCCC1,COc1ccccc1,-7.58215
COc1ccccc1,C1CCCCC1,-6.99732
C1CCCCC1,COc1ccccc1,-7.53426
COc1ccccc1,CCCCCCCCO,-7.4966
CCCCCCCCO,COc1ccccc1,-5.08796
