MOL_1,MOL_2,logV
CCc1ccccc1,Cc1ccccc1,-7.18119
CCc1ccccc1,Cc1ccccc1,-7.17711
Cc1ccccc1,CCc1ccccc1,-7.33862
CCc1ccccc1,Cc1ccccc1,-7.1827
Cc1ccccc1,CCc1ccccc1,-7.33207
CCc1ccccc1,Cc1ccccc1,-7.19837
Cc1ccccc1,CCc1ccccc1,-7.32145
CCc1ccccc1,Cc1ccccc1,-7.24137
Cc1ccccc1,CCc1ccccc1,-7.30793
CCc1ccccc1,Cc1ccccc1,-7.30981
Cc1ccccc1,CCc1ccccc1,-7.44236
Cc1ccccc1,CCc1ccccc1,-7.43122
CCc1ccccc1,Cc1ccccc1,-7.31185
CCc1ccccc1,Cc1ccccc1,-7.30741
Cc1ccccc1,CCc1ccccc1,-7.44964
CCc1ccccc1,Cc1ccccc1,-7.30943
Cc1ccccc1,CCc1ccccc1,-7.4474
CCc1ccccc1,Cc1ccccc1,-7.3177
Cc1ccccc1,CCc1ccccc1,-7.44184
CCc1ccccc1,Cc1ccccc1,-7.34263
Cc1ccccc1,CCc1ccccc1,-7.43405
CCc1ccccc1,Cc1ccccc1,-7.43048
Cc1ccccc1,CCc1ccccc1,-7.55146
Cc1ccccc1,CCc1ccccc1,-7.55032
CCc1ccccc1,Cc1ccccc1,-7.4311
CCc1ccccc1,Cc1ccccc1,-7.42957
Cc1ccccc1,CCc1ccccc1,-7.5541
CCc1ccccc1,Cc1ccccc1,-7.42974
Cc1ccccc1,CCc1ccccc1,-7.55396
CCc1ccccc1,Cc1ccccc1,-7.43147
Cc1ccccc1,CCc1ccccc1,-7.55281
CCc1ccccc1,Cc1ccccc1,-7.43728
Cc1ccccc1,CCc1ccccc1,-7.551
CCc1ccccc1,Cc1ccccc1,-7.5425
Cc1ccccc1,CCc1ccccc1,-7.65861
Cc1ccccc1,CCc1ccccc1,-7.66204
CCc1ccccc1,Cc1ccccc1,-7.54138
CCc1ccccc1,Cc1ccccc1,-7.54402
Cc1ccccc1,CCc1ccccc1,-7.65413
CCc1ccccc1,Cc1ccccc1,-7.54343
Cc1ccccc1,CCc1ccccc1,-7.65472
CCc1ccccc1,Cc1ccccc1,-7.53985
Cc1ccccc1,CCc1ccccc1,-7.65712
CCc1ccccc1,Cc1ccccc1,-7.52833
Cc1ccccc1,CCc1ccccc1,-7.6607
CCc1ccccc1,Cc1ccccc1,-7.64723
Cc1ccccc1,CCc1ccccc1,-7.7627
Cc1ccccc1,CCc1ccccc1,-7.76759
CCc1ccccc1,Cc1ccccc1,-7.64455
CCc1ccccc1,Cc1ccccc1,-7.65114
Cc1ccccc1,CCc1ccccc1,-7.75133
CCc1ccccc1,Cc1ccccc1,-7.65037
Cc1ccccc1,CCc1ccccc1,-7.75195
CCc1ccccc1,Cc1ccccc1,-7.64295
Cc1ccccc1,CCc1ccccc1,-7.7569
CCc1ccccc1,Cc1ccccc1,-7.61801
Cc1ccccc1,CCc1ccccc1,-7.76465
CCc1ccccc1,Cc1ccccc1,-7.37035
Cc1ccccc1,CCc1ccccc1,-7.49128
Cc1ccccc1,CCc1ccccc1,-7.49009
CCc1ccccc1,Cc1ccccc1,-7.37104
CCc1ccccc1,Cc1ccccc1,-7.36858
Cc1ccccc1,CCc1ccccc1,-7.49918
CCc1ccccc1,Cc1ccccc1,-7.36797
Cc1ccccc1,CCc1ccccc1,-7.50081
CCc1ccccc1,Cc1ccccc1,-7.36962
Cc1ccccc1,CCc1ccccc1,-7.49929
CCc1ccccc1,Cc1ccccc1,-7.37229
Cc1ccccc1,CCc1ccccc1,-7.49749
CCc1ccccc1,Cc1ccccc1,-7.38579
Cc1ccccc1,CCc1ccccc1,-7.49258
CCc1ccccc1,Cc1ccccc1,-7.39713
Cc1ccccc1,CCc1ccccc1,-7.49079
CCc1ccccc1,Cc1ccccc1,-7.4061
Cc1ccccc1,CCc1ccccc1,-7.49019
CCc1ccccc1,Cc1ccccc1,-7.37201
Cc1ccccc1,CCc1ccccc1,-7.49397
Cc1ccccc1,CCc1ccccc1,-7.49188
CCc1ccccc1,Cc1ccccc1,-7.37283
CCc1ccccc1,Cc1ccccc1,-7.37055
Cc1ccccc1,CCc1ccccc1,-7.50036
CCc1ccccc1,Cc1ccccc1,-7.36958
Cc1ccccc1,CCc1ccccc1,-7.50263
CCc1ccccc1,Cc1ccccc1,-7.36992
Cc1ccccc1,CCc1ccccc1,-7.50225
CCc1ccccc1,Cc1ccccc1,-7.37567
