Smiles,T,Property
CCCCN(CCO)CCCC,323,-4.50325
CCCCN(CCCC)CCCC,273,-6.09769
CCCCN(CCCC)CCCC,298,-6.66038
CCCCN(CCCC)CCCC,323,-7.07551
CCCCOP(OCCCC)OCCCC,298,-6.39409
CCCCOP(OCCCC)OCCCC,323,-6.74276
CCCCCCN(CCCCCC)CCCCCC,298,-5.54782
CCCCCCN(CCCCCC)CCCCCC,323,-6.12313
CCCCC(CC)COC(C)=O,298,-6.61482
CCCCC(CC)COC(C)=O,323,-6.97811
CCOC(=O)/C=C/c1ccccc1,298,-5.01197
CCOC(=O)/C=C/c1ccccc1,323,-5.83589
O=C(/C=C/c1ccccc1)OCc1ccccc1,273,-2.79292
O=C(/C=C/c1ccccc1)OCc1ccccc1,298,-3.88215
O=C(/C=C/c1ccccc1)OCc1ccccc1,323,-4.69478
c1ccc(CNCc2ccccc2)cc1,273,-3.70917
c1ccc(CNCc2ccccc2)cc1,298,-4.86655
c1ccc(CNCc2ccccc2)cc1,323,-5.60618
c1ccc(COCc2ccccc2)cc1,273,-4.54941
c1ccc(COCc2ccccc2)cc1,298,-5.3716
c1ccc(COCc2ccccc2)cc1,323,-5.94922
CCCc1ccccc1,273,-6.73268
CCCc1ccccc1,298,-7.131
CCCc1ccccc1,323,-7.44575
CCNc1ccccc1,273,-5.47752
CCNc1ccccc1,298,-6.22294
CCNc1ccccc1,323,-6.73482
CCOc1ccccc1,298,-6.75389
CCOc1ccccc1,323,-7.151
CN(C)Cc1ccccc1,298,-6.73078
CN(C)Cc1ccccc1,323,-7.11214
CCCCc1ccccc1,273,-6.52408
CCCCc1ccccc1,298,-6.94286
CCCCc1ccccc1,323,-7.26799
CCCCCCCCCCc1ccccc1,273,-4.98115
CCCCCCCCCCc1ccccc1,298,-5.68623
CCCCCCCCCCc1ccccc1,323,-6.20484
CCCCC(CC)CO,273,-3.49733
CCCCC(CC)CO,298,-4.88594
CCCCC(CC)CO,323,-5.91947
C=C(C)C(=O)OCCN(CC)CC,273,-5.60313
C=C(C)C(=O)OCCN(CC)CC,298,-6.171
C=C(C)C(=O)OCCN(CC)CC,323,-6.64221
CCCC(C)CO,273,-4.12887
CCCC(C)CO,298,-5.20463
CCCC(C)CO,323,-6.05647
CCOC(=O)CC,273,-7.28227
CCOC(=O)CC,298,-7.59098
CCOC(=O)CC,323,-7.86607
CCC(C)OC(C)=O,273,-6.98241
CCC(C)OC(C)=O,298,-7.3986
CCC(C)OC(C)=O,323,-7.7311
CCOC(=O)CC(=O)OCC,273,-5.65522
CCOC(=O)CC(=O)OCC,298,-6.25778
CCOC(=O)CC(=O)OCC,323,-6.69464
CCCC(=O)OCC,298,-7.36841
CCCC(=O)OCC,323,-7.65651
CCOC(=O)CC#N,273,-5.38127
CCOC(=O)CC#N,298,-6.02348
CCOC(=O)CC#N,323,-6.50066
CCOC(=O)OCC,298,-7.19193
CCOC(=O)OCC,323,-7.5068
CCCOC(=O)CCC,273,-6.6272
CCCOC(=O)CCC,298,-7.10735
CCCOC(=O)CCC,323,-7.43294
CCCCC(=O)OCC(C)C,298,-6.85627
CCCCC(=O)OCC(C)C,323,-7.15939
CCCCOC(=O)CCCCC(=O)OCCCC,298,-5.33529
CCCCOC(=O)CCCCC(=O)OCCCC,323,-5.89796
CCCCCCCCCCCC(=O)OCCCC,273,-4.76457
CCCCCCCCCCCC(=O)OCCCC,298,-5.53679
CCCCCCCCCCCC(=O)OCCCC,323,-6.07603
CCCOC(=O)CCCCC(=O)OCCC,298,-5.50632
CCCOC(=O)CCCCC(=O)OCCC,323,-6.05465
CCCC(=O)OCCC(C)C,298,-6.86319
CCCC(=O)OCCC(C)C,323,-7.23395
CCCCCCC(=O)OCC,273,-6.29897
