Smiles,T,Property
FC(Cl)C(F)(F)C(F)(F)Cl,323,-7.70691
COP(=O)(OC)OC,298,-6.36899
COP(=O)(OC)OC,323,-6.68078
COC(=O)CCCCCCCCCCCCC(C)C,298,-5.14082
COC(=O)CCCCCCCCCCCCC(C)C,323,-5.79433
CC=C(C)C,273,-8.26926
CC=C(C)C,298,-8.50552
CC=C(C)C,323,-8.67777
CC(C)CCl,273,-7.44462
CC(C)CCl,298,-7.74463
CC(C)CCl,323,-7.99778
CC(C)CI,273,-6.75863
CC(C)CI,298,-7.10471
CC(C)CI,323,-7.38284
CC(C)CS,273,-7.33927
CC(C)CS,298,-7.64575
CC(C)CS,323,-7.9228
CCC(C)S,298,-7.65808
CCC(C)S,323,-7.89331
C=C(C)C(=C)C,273,-7.98793
C=C(C)C(=C)C,298,-8.25062
C=C(C)C(=C)C,323,-8.47693
CCOC(=O)C(Cl)(Cl)Cl,273,-5.11068
CCOC(=O)C(Cl)(Cl)Cl,298,-6.26411
CCOC(=O)C(Cl)(Cl)Cl,323,-6.85176
Cc1ccccc1C#N,298,-6.43843
Cc1ccccc1C#N,323,-6.84875
Cc1ccc(C(C)c2ccc(C)cc2)cc1,273,-4.44639
Cc1ccc(C(C)c2ccc(C)cc2)cc1,298,-5.30441
Cc1ccc(C(C)c2ccc(C)cc2)cc1,323,-5.94831
OC1CCc2ccccc2C1,298,-1.57153
OC1CCc2ccccc2C1,323,-3.51401
CCOC(=O)C(Br)CC,273,-5.9124
CCOC(=O)C(Br)CC,298,-6.39969
CCOC(=O)C(Br)CC,323,-6.76475
Cc1ccco1,298,-7.82558
Cc1ccco1,323,-8.0855
CCOC(=O)C(C)Br,273,-5.91236
CCOC(=O)C(C)Br,298,-6.4193
CCOC(=O)C(C)Br,323,-6.80532
COc1cccc(N)c1,273,-4.53745
COc1cccc(N)c1,298,-5.23235
COc1cccc(N)c1,323,-5.81108
CCCCCc1ccccc1,298,-6.70503
CCCCCc1ccccc1,323,-7.06294
COCc1ccccc1,273,-5.73219
COCc1ccccc1,298,-6.46148
COCc1ccccc1,323,-6.96524
CC(C)Cc1ccccc1,298,-6.94342
CC(C)Cc1ccccc1,323,-7.27495
CCOC(=O)CCBr,273,-5.59667
CCOC(=O)CCBr,298,-6.18311
CCOC(=O)CCBr,323,-6.62152
CCCCC(=O)OCC,273,-6.76816
CCCCC(=O)OCC,298,-7.16262
CCCCC(=O)OCC,323,-7.47878
CCCCCOC(=O)CCCCC,298,-6.40687
CCCCCOC(=O)CCCCC,323,-6.82598
CCCCCOC(=O)CCC,273,-6.33169
CCCCCOC(=O)CCC,298,-6.79876
CCCCCOC(=O)CCC,323,-7.159
Fc1ccc(F)cc1,273,-6.70307
Fc1ccc(F)cc1,298,-7.16887
Fc1ccc(F)cc1,323,-7.54694
CCCCl,273,-7.73009
CCCCl,298,-8.00356
CCCCl,323,-8.22543
CC(C)CC(C)(C)C,273,-7.32932
CC(C)CC(C)(C)C,298,-7.64459
CC(C)CC(C)(C)C,323,-7.91912
CC(=O)OC(C)(C)C,273,-6.90297
CC(=O)OC(C)(C)C,298,-7.28521
CC(=O)OC(C)(C)C,323,-7.62165
CCOC(=O)Cl,273,-7.30636
CCOC(=O)Cl,298,-7.54956
CCOC(=O)Cl,323,-7.7761
ClC1CCCCC1,298,-6.48526
ClC1CCCCC1,323,-6.90183
CCCCOC(=O)OCCCC,273,-5.79924
CCCCOC(=O)OCCCC,298,-6.35301
CCCCOC(=O)OCCCC,323,-6.7802
CC(C)CCC#N,298,-7.00286
CC(C)CCC#N,323,-7.34434
CC(C)COC=O,273,-7.05401
CC(C)COC=O,298,-7.41258
CC(C)COC=O,323,-7.71393
CCCCI,273,-6.72385
CCCCI,298,-7.04322
CCCCI,323,-7.26593
O=C(Cl)CCC(=O)Cl,298,-6.07746
O=C(Cl)CCC(=O)Cl,323,-6.51702
CCCCCC(C)O,273,-3.88179
CCCCCC(C)O,298,-5.25012
CCCCCC(C)O,323,-6.1932
CCCCCCl,298,-7.51669
CCCCCCl,323,-7.78269
CC(C)CCNCCC(C)C,298,-6.6473
CC(C)CCNCCC(C)C,323,-7.06746
CC(C)CCOCCC(C)C,273,-6.52626
CC(C)CCOCCC(C)C,298,-6.97328
CC(C)CCOCCC(C)C,323,-7.32433
CC(C)CCSCCC(C)C,273,-5.89426
CC(C)CCSCCC(C)C,298,-6.39095
CC(C)CCSCCC(C)C,323,-6.78631
CCCCCCCl,298,-7.26751
CCCCCCCl,323,-7.55909
N#CCCCC#N,298,-5.09633
N#CCCCC#N,323,-5.66169
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC,273,-4.5979
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC,298,-5.335
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC,323,-5.85473
CCCCSCCCC,273,-6.50062
CCCCSCCCC,298,-6.92906
CCCCSCCCC,323,-7.25628
CCCCCCCCCCCCCCCC,298,-5.78328
CCCCCCCCCCCCCCCC,323,-6.29751
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,273,-1.4936
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,298,-3.44974
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,323,-4.4478
CC(C)CC(C)Cc1ccccc1,273,-5.66781
CC(C)CC(C)Cc1ccccc1,298,-6.29699
CC(C)CC(C)Cc1ccccc1,323,-6.74469
CCCCc1ccccc1-c1ccccc1,273,-3.7003
CCCCc1ccccc1-c1ccccc1,298,-4.91126
CCCCc1ccccc1-c1ccccc1,323,-5.66854
CCCCCCC(=O)OCCCC,298,-6.41476
CCCCCCC(=O)OCCCC,323,-6.81067
CC(C)Cc1cccc2c1CCCC2,273,-3.87195
CC(C)Cc1cccc2c1CCCC2,298,-5.05193
CC(C)Cc1cccc2c1CCCC2,323,-5.82021
CCCCCCCC(=O)OC(C)C,298,-6.4402
CCCCCCCC(=O)OC(C)C,323,-6.84936
COC(=O)C(C)C,273,-7.30414
COC(=O)C(C)C,298,-7.62271
COC(=O)C(C)C,323,-7.89492
C1CCC(CCCCCC2CCCCC2)CC1,273,-3.36143
C1CCC(CCCCCC2CCCCC2)CC1,298,-4.5029
C1CCC(CCCCCC2CCCCC2)CC1,323,-5.25956
CCC(CC1CCCCC1)CC1CCCCC1,273,-2.73314
CCC(CC1CCCCC1)CC1CCCCC1,298,-4.29215
CCC(CC1CCCCC1)CC1CCCCC1,323,-5.24289
CCCC(CC1CCCCC1)CC1CCCCC1,273,-2.78392
CCCC(CC1CCCCC1)CC1CCCCC1,298,-4.02946
CCCC(CC1CCCCC1)CC1CCCCC1,323,-4.96459
CCCCCCCCCCC(CCCCCCCCCC)CCCCCCCCCC,298,-3.95226
CCCCCCCCCCC(CCCCCCCCCC)CCCCCCCCCC,323,-4.77507
CCC(=O)OC,273,-7.44923
CCC(=O)OC,298,-7.74414
CCC(=O)OC,323,-8.003
Cc1cccs1,298,-7.29702
Cc1cccs1,323,-7.56984
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],298,-3.58982
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],323,-4.67225
C=CCI,273,-6.97764
C=CCI,298,-7.2817
C=CCI,323,-7.53174
C=CCOCC=C,298,-7.78384
C=CCOCC=C,323,-8.04682
CCCCC(C)(O)CC,273,-3.97235
CCCCC(C)(O)CC,298,-4.97574
CCCCC(C)(O)CC,323,-5.80638
CCC(C)(C)C(C)C,273,-7.00058
CCC(C)(C)C(C)C,298,-7.36109
CCC(C)(C)C(C)C,323,-7.67135
CCCCCCCC1CCCCC1,273,-5.36499
CCCCCCCC1CCCCC1,298,-5.98666
CCCCCCCC1CCCCC1,323,-6.46441
NCCCNCCCN,273,-3.52143
NCCCNCCCN,298,-4.77556
NCCCNCCCN,323,-5.53392
CCCC/C=C\CCCCCCCC(=O)OC,273,-4.93931
CCCC/C=C\CCCCCCCC(=O)OC,298,-5.60166
CCCC/C=C\CCCCCCCC(=O)OC,323,-6.08992
ClC(Cl)(Cl)Cl,273,-6.6147
ClC(Cl)(Cl)Cl,298,-7.00307
ClC(Cl)(Cl)Cl,323,-7.32985
CCC(C)(C)CC,273,-7.3784
CCC(C)(C)CC,298,-7.7629
CCC(C)(C)CC,323,-8.05254
CCCC(C)(C)CC,273,-7.34257
CCCC(C)(C)CC,298,-7.66094
CCCC(C)(C)CC,323,-7.92129
CC(=O)C(C)C,298,-7.72368
CC(=O)C(C)C,323,-7.98432
CCC(C)C(C)(C)C,298,-7.47254
CCC(C)C(C)(C)C,323,-7.76119
CCC(C)C(C)C,298,-7.85666
CCC(C)C(C)C,323,-8.12737
CCC(C)C(C)O,273,-3.96912
CCC(C)C(C)O,298,-5.38457
CCC(C)C(C)O,323,-6.37266
CCC(O)C(C)C,298,-5.62199
CCC(O)C(C)C,323,-6.54386
CC(C)C(C)C(C)C,298,-7.60834
CC(C)C(C)C(C)C,323,-7.82107
CC(C)C(=O)C(C)C,298,-7.42685
CC(C)C(=O)C(C)C,323,-7.70931
OCC(O)CO,273,2.52344
OCC(O)CO,298,-0.0847663
OCC(O)CO,323,-1.9251
C=CCN=C=S,298,-7.29934
C=CCN=C=S,323,-7.52061
CN(C)N,273,-7.11073
CN(C)N,298,-7.59785
CN(C)N,323,-7.98825
Cc1ccc2ccccc2c1C,298,-5.52739
Cc1ccc2ccccc2c1C,323,-5.87495
C1CCC2C(C1)CCC1CCCCC12,273,-4.15779
C1CCC2C(C1)CCC1CCCCC12,298,-5.01782
C1CCC2C(C1)CCC1CCCCC12,323,-5.63153
Cc1cc(C)c2ccccc2c1,273,-5.19389
Cc1cc(C)c2ccccc2c1,298,-5.76206
Cc1cc(C)c2ccccc2c1,323,-6.21116
CC(O)CO,273,-1.3754
CC(O)CO,298,-3.12455
CC(O)CO,323,-4.3688
CCc1cccc(CC)c1N,273,-4.66962
CCc1cccc(CC)c1N,298,-5.58905
CCc1cccc(CC)c1N,323,-6.20876
COc1ccccc1C(C)=O,273,-2.42955
COc1ccccc1C(C)=O,298,-4.30759
COc1ccccc1C(C)=O,323,-5.49545
CCC(C)C(C)CC,273,-7.36342
CCC(C)C(C)CC,298,-7.66844
CCC(C)C(C)CC,323,-7.93382
CC1CCCCC1=O,273,-5.72321
CC1CCCCC1=O,298,-6.25418
CC1CCCCC1=O,323,-6.71304
CCC(O)CC,273,-3.92636
CCC(O)CC,298,-5.40282
CCC(O)CC,323,-6.46135
CCCC(C)C(C)C,273,-7.34124
CCCC(C)C(C)C,298,-7.62884
CCCC(C)C(C)C,323,-7.934
CCCCCCCOC(=O)CCC,298,-6.37688
CCCCCCCOC(=O)CCC,323,-6.78174
C=CCNc1ccccc1,273,-5.36686
C=CCNc1ccccc1,298,-5.97653
C=CCNc1ccccc1,323,-6.47113
CC(=O)CCCCl,273,-6.33837
CC(=O)CCCCl,298,-6.74982
CC(=O)CCCCl,323,-7.05613
CCCC(C)CC,298,-7.9589
CCCC(C)CC,323,-8.21489
CCC(C)CC(C)C,273,-7.41423
CCC(C)CC(C)C,298,-7.67502
CCC(C)CC(C)C,323,-7.94758
CCCC(C)CCC,273,-7.41317
CCCC(C)CCC,298,-7.71511
CCCC(C)CCC,323,-7.98983
CCCC(O)CCC,273,-3.94784
CCCC(O)CCC,298,-5.40672
CCCC(O)CCC,323,-6.36958
CCCCC(O)CCC,273,-4.14624
CCCCC(O)CCC,298,-5.35547
CCCCC(O)CCC,323,-6.21833
CCCCC(O)CC,273,-3.8073
CCCCC(O)CC,298,-5.24606
CCCCC(O)CC,323,-6.23195
CC1CCC(=O)CC1,273,-5.83724
CC1CCC(=O)CC1,298,-6.44659
CC1CCC(=O)CC1,323,-6.84955
CCCCCC(O)CC,273,-3.91669
CCCCCC(O)CC,298,-4.89608
CCCCCC(O)CC,323,-5.70048
CCCCOC(=O)CC,273,-6.76079
CCCCOC(=O)CC,298,-7.15657
CCCCOC(=O)CC,323,-7.47226
CCCC(C)(C)C,273,-7.44392
CCCC(C)(C)C,298,-7.91151
CCCC(C)(C)C,323,-8.2145
CCCC(C)(C)O,273,-5.146
CCCC(C)(C)O,298,-6.11453
CCCC(C)(C)O,323,-6.81076
CCCCC(C)(C)C,273,-7.2617
CCCCC(C)(C)C,298,-7.52743
CCCCC(C)(C)C,323,-7.79726
CC(C)CC=O,273,-7.1925
CC(C)CC=O,298,-7.55647
CC(C)CC=O,323,-7.84606
Cc1cccc(Br)c1,273,-6.35588
Cc1cccc(Br)c1,298,-6.75962
Cc1cccc(Br)c1,323,-7.06689
Nc1cccc(Br)c1,298,-5.1571
Nc1cccc(Br)c1,323,-5.8336
Cc1cncc(C)c1,298,-6.95792
Cc1cncc(C)c1,323,-7.28605
CC1CCCC(=O)C1,298,-6.45201
CC1CCCC(=O)C1,323,-6.85874
Ic1ccccc1,273,-6.01952
Ic1ccccc1,298,-6.46246
Ic1ccccc1,323,-6.79406
CCCCOC(=O)CCCC,273,-6.32317
CCCCOC(=O)CCCC,298,-6.78107
CCCCOC(=O)CCCC,323,-7.14104
CCCCC(C)C,273,-7.6462
CCCCC(C)C,298,-7.93062
CCCCC(C)C,323,-8.17408
CCCCC(C)=O,298,-7.43909
CCCCC(C)=O,323,-7.72671
CC(C)CCC(C)C,273,-7.33512
CC(C)CCC(C)C,298,-7.66897
CC(C)CCC(C)C,323,-7.97555
CCCCCC(C)C,273,-7.32996
CCCCCC(C)C,298,-7.6403
CCCCCC(C)C,323,-7.92527
C=CCCCC,273,-7.95648
C=CCCCC,298,-8.2216
C=CCCCC,323,-8.46425
C=CCCC=C,273,-7.98932
C=CCCC=C,298,-8.24901
C=CCCC=C,323,-8.48015
CCCCCF,273,-7.57761
CCCCCF,298,-7.94819
CCCCCF,323,-8.1936
C1=CCCC=C1,273,-7.13485
C1=CCCC=C1,298,-7.47662
C1=CCCC=C1,323,-7.7676
CC(C)CSCC(C)C,273,-6.42972
CC(C)CSCC(C)C,298,-6.87081
CC(C)CSCC(C)C,323,-7.21829
CCCCOC=O,273,-6.96646
CCCCOC=O,298,-7.3503
CCCCOC=O,323,-7.66165
CC(C)(Br)CBr,273,-5.71241
CC(C)(Br)CBr,298,-6.21154
CC(C)(Br)CBr,323,-6.61574
CCCCCCCc1ccc(-c2ccccc2)cc1,273,-2.88489
CCCCCCCc1ccc(-c2ccccc2)cc1,298,-4.29264
CCCCCCCc1ccc(-c2ccccc2)cc1,323,-5.12843
CCC(O)(CC)CC,298,-4.98408
CCC(O)(CC)CC,323,-6.54433
CCCC(C)(O)CCC,273,-3.40627
CCCC(C)(O)CCC,298,-5.10087
CCCC(C)(O)CCC,323,-6.20779
CC(C)C(C)O,298,-5.54278
CC(C)C(C)O,323,-6.45298
CCC(C)[N+](=O)[O-],273,-6.65397
CCC(C)[N+](=O)[O-],298,-7.03571
CCC(C)[N+](=O)[O-],323,-7.3518
CC(C)C(O)C(C)C,273,-3.47195
CC(C)C(O)C(C)C,298,-5.33658
CC(C)C(O)C(C)C,323,-6.45755
OCCc1ccccc1,273,-3.09834
OCCc1ccccc1,298,-4.49492
OCCc1ccccc1,323,-5.43961
OCCS,298,-6.00631
OCCS,323,-6.30684
CCOCC,273,-8.14838
CCOCC,298,-8.4015
CCOCC,323,-8.63483
CC(C)C(C)(C)CC(C)(C)C,273,-6.10898
CC(C)C(C)(C)CC(C)(C)C,298,-6.62485
CC(C)C(C)(C)CC(C)(C)C,323,-7.03686
CCCC(C)O,273,-4.58697
CCCC(C)O,298,-5.68592
CCCC(C)O,323,-6.53328
CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,273,-3.16407
CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,298,-3.93752
CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,323,-4.56993
CNN,273,-6.55339
CNN,298,-7.09765
CNN,323,-7.51154
C1CCC(C2CCC(C3CCCC3)C2)C1,273,-4.95134
C1CCC(C2CCC(C3CCCC3)C2)C1,298,-5.55844
C1CCC(C2CCC(C3CCCC3)C2)C1,323,-6.0295
CCC(CC)C(C)C,298,-7.68245
CCC(CC)C(C)C,323,-7.94553
Cc1ccccc1N(C)C,273,-6.0216
Cc1ccccc1N(C)C,298,-6.55278
Cc1ccccc1N(C)C,323,-6.96032
Cc1cccc2cccnc12,298,-5.55658
Cc1cccc2cccnc12,323,-6.13924
CCCCCCCCC(C)CCC,273,-5.91321
CCCCCCCCC(C)CCC,298,-6.47583
CCCCCCCCC(C)CCC,323,-6.89807
CC(c1ccccc1)c1ccccc1,273,-4.7055
CC(c1ccccc1)c1ccccc1,298,-5.544
CC(c1ccccc1)c1ccccc1,323,-6.11515
CCN(C)c1ccccc1,273,-5.81771
CCN(C)c1ccccc1,298,-6.42367
CCN(C)c1ccccc1,323,-6.85801
CC(C)c1cccc2ccccc12,273,-4.42084
CC(C)c1cccc2ccccc12,298,-5.37761
CC(C)c1cccc2ccccc12,323,-6.03373
CCCOC(=O)C(=O)OCCC,273,-5.33127
CCCOC(=O)C(=O)OCCC,298,-5.98629
CCCOC(=O)C(=O)OCCC,323,-6.48356
CCCOC(=O)C(C)O,273,-4.86489
CCCOC(=O)C(C)O,298,-5.82598
CCCOC(=O)C(C)O,323,-6.47719
CCC(Cl)CC,273,-7.34737
CCC(Cl)CC,298,-7.62478
CCC(Cl)CC,323,-7.87045
Cc1ccsc1,273,-7.04796
Cc1ccsc1,298,-7.36133
Cc1ccsc1,323,-7.63346
O=C1CCCN1,298,-4.30756
O=C1CCCN1,323,-5.20049
Cn1ccnc1,298,-6.39732
Cn1ccnc1,323,-6.80182
CCCC(O)C(C)C,273,-4.06586
CCCC(O)C(C)C,298,-5.10934
CCCC(O)C(C)C,323,-5.97585
CCOC(=O)C(C)=O,298,-6.84225
CCOC(=O)C(C)=O,323,-7.23099
CCC(CC)CC,273,-7.67457
CCC(CC)CC,298,-7.93056
CCC(CC)CC,323,-8.16651
CCC(C)(C)CC(C)(C)CC,298,-6.7077
CCC(C)(C)CC(C)(C)CC,323,-7.0009
CCCCCC/C=C/CCCCCCCCCC(=O)OC,273,-4.24356
CCCCCC/C=C/CCCCCCCCCC(=O)OC,298,-4.91177
CCCCCC/C=C/CCCCCCCCCC(=O)OC,323,-5.45315
CCCC(CC)CC,273,-7.44881
CCCC(CC)CC,298,-7.75028
CCCC(CC)CC,323,-8.01463
Cc1ccc(C=O)o1,298,-6.23728
Cc1ccc(C=O)o1,323,-6.68794
Cc1cccc(C#N)c1,298,-6.49944
Cc1cccc(C#N)c1,323,-6.90827
Cc1ccc(Cc2ccccc2)cc1,298,-5.82757
Cc1ccc(Cc2ccccc2)cc1,323,-6.30768
CCc1ccc(Cc2ccccc2)cc1,273,-5.12006
CCc1ccc(Cc2ccccc2)cc1,298,-5.76823
CCc1ccc(Cc2ccccc2)cc1,323,-6.24218
CCCCCC(=O)OCC(COC(=O)CCCCC)OC(=O)CCCCC,273,-3.26468
CCCCCC(=O)OCC(COC(=O)CCCCC)OC(=O)CCCCC,298,-4.37658
CCCCCC(=O)OCC(COC(=O)CCCCC)OC(=O)CCCCC,323,-5.16779
CCCCCN(CCCCC)CCCCC,273,-5.35048
CCCCCN(CCCCC)CCCCC,298,-6.05911
CCCCCN(CCCCC)CCCCC,323,-6.57144
CCC(C)(C)CCC(C)(C)CC,273,-6.00442
CCC(C)(C)CCC(C)(C)CC,298,-6.50271
CCC(C)(C)CCC(C)(C)CC,323,-6.89943
CCSc1ccccc1,273,-4.98025
CCSc1ccccc1,298,-5.63677
CCSc1ccccc1,323,-6.18199
OCCN1CCOCC1,298,-3.73167
OCCN1CCOCC1,323,-4.38611
CC(=O)OC1CCCCC1,273,-5.56471
CC(=O)OC1CCCCC1,298,-6.1973
CC(=O)OC1CCCCC1,323,-6.65092
CCCOc1ccccc1,298,-6.55858
CCCOc1ccccc1,323,-6.9937
CCc1ccc(C)cc1,298,-7.33843
CCc1ccc(C)cc1,323,-7.59715
CNc1ccc(C)cc1,273,-5.151
CNc1ccc(C)cc1,298,-6.01344
CNc1ccc(C)cc1,323,-6.60741
CCCC(O)CC,273,-4.06731
CCCC(O)CC,298,-5.20951
CCCC(O)CC,323,-6.1749
CCCC(=O)OC,273,-7.18312
CCCC(=O)OC,298,-7.51827
CCCC(=O)OC,323,-7.80044
CCOC(=O)CO,273,-5.08907
CCOC(=O)CO,298,-5.71861
CCOC(=O)CO,323,-6.22965
CCCCC(O)CCCC,298,-4.68843
CCCCC(O)CCCC,323,-5.52667
CCCCCCCC(=O)OCCC,298,-6.32533
CCCCCCCC(=O)OCCC,323,-6.75872
CCOC(=O)CCCCCCCC(=O)OCC,273,-4.51828
CCOC(=O)CCCCCCCC(=O)OCC,298,-5.39795
CCOC(=O)CCCCCCCC(=O)OCC,323,-5.97356
CCCCC(=O)OC,298,-7.31585
CCCCC(=O)OC,323,-7.61521
CCCCCCC(O)CC,273,-3.68066
CCCCCCC(O)CC,298,-4.68688
CCCCCCC(O)CC,323,-5.52279
CCCCCOC(=O)CC,273,-6.60337
CCCCCOC(=O)CC,298,-6.95123
CCCCCOC(=O)CC,323,-7.28738
CCSC,273,-7.60979
CCSC,298,-7.9443
CCSC,323,-8.20306
CSSC,273,-7.15735
CSSC,298,-7.44147
CSSC,323,-7.68987
CCCCC(C)(C)O,298,-5.48601
CCCCC(C)(C)O,323,-6.3803
CCCCCC(C)(C)O,273,-4.02836
CCCCCC(C)(C)O,298,-5.02765
CCCCCC(C)(C)O,323,-5.85382
CCCC(C)Cl,273,-7.42239
CCCC(C)Cl,298,-7.65755
CCCC(C)Cl,323,-7.87834
CCCC(C)N,273,-7.02975
CCCC(C)N,298,-7.45506
CCCC(C)N,323,-7.79525
Nc1ccccc1,273,-4.56244
Nc1ccccc1,298,-5.60028
Nc1ccccc1,323,-6.27704
COCC(C)C,273,-7.87159
COCC(C)C,298,-8.14046
COCC(C)C,323,-8.37616
Cc1c[nH]c(C)c1,273,-5.79818
Cc1c[nH]c(C)c1,298,-6.30797
Cc1c[nH]c(C)c1,323,-6.72762
Cc1ccc(C)[nH]1,298,-5.44006
Cc1ccc(C)[nH]1,323,-6.27567
Cc1ccc(C)o1,298,-7.6121
Cc1ccc(C)o1,323,-7.86447
CCCCCC(=O)OCCC,298,-6.76635
CCCCCC(=O)OCCC,323,-7.12722
CCCCCC(=O)OCCCC,298,-6.59484
CCCCCC(=O)OCCCC,323,-6.96655
CCOC(=O)CCCCC(=O)O,298,-3.86944
CCOC(=O)CCCCC(=O)O,323,-4.71193
CCCCC(C)O,298,-5.48247
CCCCC(C)O,323,-6.35023
CC(O)CCCO,273,-0.353749
CC(O)CCCO,298,-1.77316
CC(O)CCCO,323,-2.92969
CCOCC(C)C,273,-7.63691
CCOCC(C)C,298,-7.9338
CCOCC(C)C,323,-8.19423
CCCC[N+](=O)[O-],273,-6.71489
CCCC[N+](=O)[O-],298,-6.97712
CCCC[N+](=O)[O-],323,-7.22629
COC(=O)CCCCC(=O)OC,298,-5.83254
COC(=O)CCCCC(=O)OC,323,-6.32345
CCCCCI,273,-6.47088
CCCCCI,298,-6.83947
CCCCCI,323,-7.10169
CCCCSC,273,-7.17892
CCCCSC,298,-7.48514
CCCCSC,323,-7.74739
CCCOCC,273,-7.83119
CCCOCC,298,-8.10546
CCCOCC,323,-8.3476
CCCCCOC(C)=O,298,-7.07986
CCCCCOC(C)=O,323,-7.47633
ClCCCCCCl,298,-6.42881
ClCCCCCCl,323,-6.79517
CCCCOCC,298,-7.8255
CCCCOCC,323,-8.08108
CCCCCCCBr,298,-6.77597
CCCCCCCBr,323,-7.13005
CCCCCCCCl,298,-7.03307
CCCCCCCCl,323,-7.35112
CCCSSCCC,273,-5.04985
CCCSSCCC,298,-5.69304
CCCSSCCC,323,-6.22804
C1=C\C=C/C=C\C=C/1,273,-6.17834
C1=C\C=C/C=C\C=C/1,298,-6.68259
C1=C\C=C/C=C\C=C/1,323,-7.08611
CCCCCCCCI,273,-5.69666
CCCCCCCCI,298,-6.22146
CCCCCCCCI,323,-6.6129
CCCCCCOC=O,298,-6.95954
CCCCCCOC=O,323,-7.29554
N#CCCCCCCC#N,298,-4.91332
N#CCCCCCCC#N,323,-5.61827
CCCCSSCCCC,273,-5.94481
CCCCSSCCCC,298,-6.36458
CCCCSSCCCC,323,-6.69918
CCCCCCCCCCCCC,273,-5.8171
CCCCCCCCCCCCC,298,-6.37039
CCCCCCCCCCCCC,323,-6.79388
CCCCCCCCCCCCCC,298,-6.17184
CCCCCCCCCCCCCC,323,-6.62594
CCCCCCCCCCCCCCC,298,-5.97395
CCCCCCCCCCCCCCC,323,-6.44971
CCCCCCCCCCCCCCCCOC(C)=O,298,-4.99713
CCCCCCCCCCCCCCCCOC(C)=O,323,-5.63009
C=CCCCCCCCCCCCCCC,298,-5.90147
C=CCCCCCCCCCCCCCC,323,-6.3864
CCCCCCCCCCCCCCCCC,298,-5.59553
CCCCCCCCCCCCCCCCC,323,-6.14254
CC(C)(C)C=O,298,-7.44519
CC(C)(C)C=O,323,-7.76088
CN(C)C(=O)N(C)C,298,-6.54104
CN(C)C(=O)N(C)C,323,-6.92019
CCS(=O)(=O)N(C)C,298,-5.62668
CCCCCCOC(=O)CCCCC,298,-6.24011
CCCCCCOC(=O)CCCCC,323,-6.65901
CCOC(C)(C)C,273,-7.30987
CCOC(C)(C)C,298,-7.59116
CCOC(C)(C)C,323,-7.861
Cc1ccc(C)s1,298,-7.19106
Cc1ccc(C)s1,323,-7.48929
CCCCCCCC(=O)OCCCCC,298,-6.06222
CCCCCCCC(=O)OCCCCC,323,-6.51365
CCC(C)CCCC(C)CCCC(C)CCCC(C)C,273,-4.79733
CCC(C)CCCC(C)CCCC(C)CCCC(C)C,298,-5.43526
CCC(C)CCCC(C)CCCC(C)CCCC(C)C,323,-5.94756
CCCCCCI,298,-6.65192
CCCCCCI,323,-6.98414
CCCCCOC=O,298,-7.10562
CCCCCOC=O,323,-7.4132
CCCCCCCCCCCCCCOC(C)=O,298,-5.50329
CCCCCCCCCCCCCCOC(C)=O,323,-5.93366
CCO,273,-6.32624
CCO,298,-6.82438
CCO,323,-7.26992
O=CO,298,-6.44786
O=CO,323,-6.87855
CC(=O)O,298,-6.78434
CC(=O)O,323,-7.1299
Cc1ccccc1-c1ccccc1,273,-4.29109
Cc1ccccc1-c1ccccc1,298,-5.36004
Cc1ccccc1-c1ccccc1,323,-6.05408
CC(C)CCN(CCC(C)C)CCC(C)C,273,-5.29714
CC(C)CCN(CCC(C)C)CCC(C)C,298,-6.04101
CC(C)CCN(CCC(C)C)CCC(C)C,323,-6.57317
C1COCO1,298,-7.43746
C1COCO1,323,-7.71791
N#CCCCCCC#N,298,-5.01677
N#CCCCCCC#N,323,-5.68214
CCCCCCCF,273,-7.05087
CCCCCCCF,298,-7.4393
CCCCCCCF,323,-7.72398
CC1CCCCC1C1CCCCC1,273,-4.66683
CC1CCCCC1C1CCCCC1,298,-5.54186
CC1CCCCC1C1CCCCC1,323,-6.09478
CCCCc1cccc2c1CCCC2,273,-4.24313
CCCCc1cccc2c1CCCC2,298,-5.26026
CCCCc1cccc2c1CCCC2,323,-5.92821
CCCCCCCCCCCCC(CCCCCCCCCCCC)C1CCCCC1,273,-2.00407
CCCCCCCCCCCCC(CCCCCCCCCCCC)C1CCCCC1,298,-3.37687
CCCCCCCCCCCCC(CCCCCCCCCCCC)C1CCCCC1,323,-4.34894
CCCCCCCCCCC(CCCCCCCCCC)C1CCCCC1,273,-2.40365
CCCCCCCCCCC(CCCCCCCCCC)C1CCCCC1,298,-3.72134
CCCCCCCCCCC(CCCCCCCCCC)C1CCCCC1,323,-4.65111
CO,273,-7.14002
CO,298,-7.50848
CO,323,-7.82812
