mol1,mol2,Property
CCc1ccccc1,Cc1ccccc1,-0.00213027
Cc1ccccc1,CCc1ccccc1,-0.0538344
CCc1ccccc1,Cc1ccccc1,-0.013818
Cc1ccccc1,CCc1ccccc1,-0.0396529
CCc1ccccc1,Cc1ccccc1,-0.0372513
Cc1ccccc1,CCc1ccccc1,-0.0236351
CCc1ccccc1,Cc1ccccc1,-0.0934418
Cc1ccccc1,CCc1ccccc1,-0.0058199
CCc1ccccc1,Cc1ccccc1,0.002447
Cc1ccccc1,CCc1ccccc1,-0.029643
CCc1ccccc1,Cc1ccccc1,0.00408166
Cc1ccccc1,CCc1ccccc1,-0.0354065
CCc1ccccc1,Cc1ccccc1,-0.00150113
Cc1ccccc1,CCc1ccccc1,-0.0288574
CCc1ccccc1,Cc1ccccc1,-0.0171726
Cc1ccccc1,CCc1ccccc1,-0.0182403
CCc1ccccc1,Cc1ccccc1,-0.06018
Cc1ccccc1,CCc1ccccc1,-0.00472213
CCc1ccccc1,Cc1ccccc1,0.00203792
Cc1ccccc1,CCc1ccccc1,-0.0111489
CCc1ccccc1,Cc1ccccc1,0.00444013
Cc1ccccc1,CCc1ccccc1,-0.0184288
CCc1ccccc1,Cc1ccccc1,0.0024071
Cc1ccccc1,CCc1ccccc1,-0.0161893
CCc1ccccc1,Cc1ccccc1,-0.00585511
Cc1ccccc1,CCc1ccccc1,-0.0106283
CCc1ccccc1,Cc1ccccc1,-0.0307871
Cc1ccccc1,CCc1ccccc1,-0.00283401
CCc1ccccc1,Cc1ccccc1,0.000619808
Cc1ccccc1,CCc1ccccc1,-0.00113564
CCc1ccccc1,Cc1ccccc1,0.00152883
Cc1ccccc1,CCc1ccccc1,-0.00378415
CCc1ccccc1,Cc1ccccc1,0.00135908
Cc1ccccc1,CCc1ccccc1,-0.00363861
CCc1ccccc1,Cc1ccccc1,-0.000371069
Cc1ccccc1,CCc1ccccc1,-0.00248809
CCc1ccccc1,Cc1ccccc1,-0.00617603
Cc1ccccc1,CCc1ccccc1,-0.000683233
CCc1ccccc1,Cc1ccccc1,-0.00111662
Cc1ccccc1,CCc1ccccc1,0.00342413
CCc1ccccc1,Cc1ccccc1,-0.00263848
Cc1ccccc1,CCc1ccccc1,0.00791857
CCc1ccccc1,Cc1ccccc1,-0.0020501
Cc1ccccc1,CCc1ccccc1,0.00732312
CCc1ccccc1,Cc1ccccc1,0.00152883
Cc1ccccc1,CCc1ccccc1,0.00492784
CCc1ccccc1,Cc1ccccc1,0.0130544
Cc1ccccc1,CCc1ccccc1,0.0013391
CCc1ccccc1,Cc1ccccc1,-0.00267858
Cc1ccccc1,CCc1ccccc1,0.00488803
CCc1ccccc1,Cc1ccccc1,-0.00658463
Cc1ccccc1,CCc1ccccc1,0.0162571
CCc1ccccc1,Cc1ccccc1,-0.0058199
Cc1ccccc1,CCc1ccccc1,0.0156371
CCc1ccccc1,Cc1ccccc1,0.00159872
Cc1ccccc1,CCc1ccccc1,0.0106827
CCc1ccccc1,Cc1ccccc1,0.0265348
Cc1ccccc1,CCc1ccccc1,0.00293569
CCc1ccccc1,Cc1ccccc1,-0.00368378
Cc1ccccc1,CCc1ccccc1,0.00503729
CCc1ccccc1,Cc1ccccc1,-0.00918304
Cc1ccccc1,CCc1ccccc1,0.0209882
CCc1ccccc1,Cc1ccccc1,-0.00845767
Cc1ccccc1,CCc1ccccc1,0.0205279
CCc1ccccc1,Cc1ccccc1,0.00114934
Cc1ccccc1,CCc1ccccc1,0.0141396
CCc1ccccc1,Cc1ccccc1,0.0341115
Cc1ccccc1,CCc1ccccc1,0.00390238
CCc1ccccc1,Cc1ccccc1,-0.00385442
Cc1ccccc1,CCc1ccccc1,0.005286
CCc1ccccc1,Cc1ccccc1,-0.00960902
Cc1ccccc1,CCc1ccccc1,0.0219767
CCc1ccccc1,Cc1ccccc1,-0.00884702
Cc1ccccc1,CCc1ccccc1,0.0214973
CCc1ccccc1,Cc1ccccc1,0.00120927
Cc1ccccc1,CCc1ccccc1,0.0147999
CCc1ccccc1,Cc1ccccc1,0.0357146
Cc1ccccc1,CCc1ccccc1,0.00408166
CCc1ccccc1,Cc1ccccc1,-0.00726029
Cc1ccccc1,CCc1ccccc1,0.0191652
CCc1ccccc1,Cc1ccccc1,0.000689762
Cc1ccccc1,CCc1ccccc1,-0.00119271
CCc1ccccc1,Cc1ccccc1,0.00245698
Cc1ccccc1,CCc1ccccc1,-0.00908817
CCc1ccccc1,Cc1ccccc1,0.00307527
Cc1ccccc1,CCc1ccccc1,-0.0107223
CCc1ccccc1,Cc1ccccc1,0.00142898
Cc1ccccc1,CCc1ccccc1,-0.00919414
CCc1ccccc1,Cc1ccccc1,-0.00124277
Cc1ccccc1,CCc1ccccc1,-0.00740132
CCc1ccccc1,Cc1ccccc1,-0.0147431
Cc1ccccc1,CCc1ccccc1,-0.0024901
CCc1ccccc1,Cc1ccccc1,-0.0260832
Cc1ccccc1,CCc1ccccc1,-0.000702247
CCc1ccccc1,Cc1ccccc1,-0.0350584
Cc1ccccc1,CCc1ccccc1,-0.000104005
CCc1ccccc1,Cc1ccccc1,0.000819664
Cc1ccccc1,CCc1ccccc1,-0.0020962
CCc1ccccc1,Cc1ccccc1,0.0022774
Cc1ccccc1,CCc1ccccc1,-0.00848288
CCc1ccccc1,Cc1ccccc1,0.00324473
Cc1ccccc1,CCc1ccccc1,-0.0107516
CCc1ccccc1,Cc1ccccc1,0.00291575
Cc1ccccc1,CCc1ccccc1,-0.0103777
CCc1ccccc1,Cc1ccccc1,-0.00283501
Cc1ccccc1,CCc1ccccc1,-0.00637629
CCc1ccccc1,Cc1ccccc1,-0.0130285
Cc1ccccc1,CCc1ccccc1,-0.00277685
CCc1ccccc1,Cc1ccccc1,-0.0273866
Cc1ccccc1,CCc1ccccc1,-0.000520135
CCc1ccccc1,Cc1ccccc1,0.000949549
Cc1ccccc1,CCc1ccccc1,-0.00292427
CCc1ccccc1,Cc1ccccc1,0.00217763
Cc1ccccc1,CCc1ccccc1,-0.00817634
CCc1ccccc1,Cc1ccccc1,0.00327463
Cc1ccccc1,CCc1ccccc1,-0.0107951
CCc1ccccc1,Cc1ccccc1,0.00273625
Cc1ccccc1,CCc1ccccc1,-0.0101817
CCc1ccccc1,Cc1ccccc1,0.00182833
Cc1ccccc1,CCc1ccccc1,-0.00934251
CCc1ccccc1,Cc1ccccc1,-0.00131186
Cc1ccccc1,CCc1ccccc1,-0.00718676
CCc1ccccc1,Cc1ccccc1,-0.00724216
Cc1ccccc1,CCc1ccccc1,-0.00450111
CCc1ccccc1,Cc1ccccc1,-0.0189627
Cc1ccccc1,CCc1ccccc1,-0.00156122
CCc1ccccc1,Cc1ccccc1,-0.0310522
Cc1ccccc1,CCc1ccccc1,-0.000256033
CCc1ccccc1,Cc1ccccc1,3.00E-05
Cc1ccccc1,CCc1ccccc1,0.0039721
CCc1ccccc1,Cc1ccccc1,0.000419912
Cc1ccccc1,CCc1ccccc1,-7.30E-05
CCc1ccccc1,Cc1ccccc1,0.00097952
Cc1ccccc1,CCc1ccccc1,-0.00245401
CCc1ccccc1,Cc1ccccc1,0.0015488
Cc1ccccc1,CCc1ccccc1,-0.0037962
