mol1,mol2,Property
Brc1ccccc1,Cc1cccc(C)c1,-0.126698
Cc1cccc(C)c1,Brc1ccccc1,-0.0571705
Brc1ccccc1,Cc1cccc(C)c1,-0.0736412
Cc1cccc(C)c1,Brc1ccccc1,-0.108091
Brc1ccccc1,Cc1cccc(C)c1,-0.04112
Cc1cccc(C)c1,Brc1ccccc1,-0.156039
Brc1ccccc1,Cc1cccc(C)c1,-0.0226762
Cc1cccc(C)c1,Brc1ccccc1,-0.208452
Brc1ccccc1,Cc1cccc(C)c1,-0.0102392
Cc1cccc(C)c1,Brc1ccccc1,-0.255381
Brc1ccccc1,Cc1cccc(C)c1,-0.00378415
Cc1cccc(C)c1,Brc1ccccc1,-0.000769296
Brc1ccccc1,Cc1cccc(C)c1,-0.171809
Cc1cccc(C)c1,Brc1ccccc1,-0.00459052
Brc1ccccc1,Cc1cccc(C)c1,-0.152912
Cc1cccc(C)c1,Brc1ccccc1,-0.0145615
Brc1ccccc1,Cc1cccc(C)c1,-0.127063
Cc1cccc(C)c1,Brc1ccccc1,-0.0258492
Brc1ccccc1,Cc1cccc(C)c1,-0.107962
Cc1cccc(C)c1,Brc1ccccc1,-0.0545903
Brc1ccccc1,Cc1cccc(C)c1,-0.0758729
Cc1cccc(C)c1,Brc1ccccc1,-0.0931103
Brc1ccccc1,Cc1cccc(C)c1,-0.048892
Cc1cccc(C)c1,Brc1ccccc1,-0.128013
Brc1ccccc1,Cc1cccc(C)c1,-0.0324199
Cc1cccc(C)c1,Brc1ccccc1,-0.221535
Brc1ccccc1,Cc1cccc(C)c1,-0.00805737
Cc1cccc(C)c1,Brc1ccccc1,-0.000780304
Brc1ccccc1,Cc1cccc(C)c1,-0.171722
Cc1cccc(C)c1,Brc1ccccc1,-0.00478041
Brc1ccccc1,Cc1cccc(C)c1,-0.152238
Cc1cccc(C)c1,Brc1ccccc1,-0.0149035
Brc1ccccc1,Cc1cccc(C)c1,-0.12638
Cc1cccc(C)c1,Brc1ccccc1,-0.0268759
Brc1ccccc1,Cc1cccc(C)c1,-0.106492
Cc1cccc(C)c1,Brc1ccccc1,-0.0526289
Brc1ccccc1,Cc1cccc(C)c1,-0.0776221
Cc1cccc(C)c1,Brc1ccccc1,-0.0991068
Brc1ccccc1,Cc1cccc(C)c1,-0.0456377
Cc1cccc(C)c1,Brc1ccccc1,-0.15475
Brc1ccccc1,Cc1cccc(C)c1,-0.0230691
Cc1cccc(C)c1,Brc1ccccc1,-0.232615
Brc1ccccc1,Cc1cccc(C)c1,-0.00645076
Cc1cccc(C)c1,Clc1ccccc1,0.00318492
Clc1ccccc1,Cc1cccc(C)c1,-0.0761362
Cc1cccc(C)c1,Clc1ccccc1,0.00675712
Clc1ccccc1,Cc1cccc(C)c1,-0.0930532
Cc1cccc(C)c1,Clc1ccccc1,0.00761096
Clc1ccccc1,Cc1cccc(C)c1,-0.0958096
Cc1cccc(C)c1,Clc1ccccc1,0.000949549
Clc1ccccc1,Cc1cccc(C)c1,-0.0858869
Cc1cccc(C)c1,Clc1ccccc1,-0.0223018
Clc1ccccc1,Cc1cccc(C)c1,-0.0640874
Cc1cccc(C)c1,Clc1ccccc1,-0.0437022
Clc1ccccc1,Cc1cccc(C)c1,-0.050319
Cc1cccc(C)c1,Clc1ccccc1,-0.0834425
Clc1ccccc1,Cc1cccc(C)c1,-0.0322226
Cc1cccc(C)c1,Clc1ccccc1,-0.142885
Clc1ccccc1,Cc1cccc(C)c1,-0.0153065
Cc1cccc(C)c1,Clc1ccccc1,-0.213639
Clc1ccccc1,Cc1cccc(C)c1,-0.00450614
Cc1cccc(C)c1,Clc1ccccc1,0.00186825
Clc1ccccc1,Cc1cccc(C)c1,-0.0509449
Cc1cccc(C)c1,Clc1ccccc1,0.00502734
Clc1ccccc1,Cc1cccc(C)c1,-0.0669243
Cc1cccc(C)c1,Clc1ccccc1,0.0057037
Clc1ccccc1,Cc1cccc(C)c1,-0.0689943
Cc1cccc(C)c1,Clc1ccccc1,-0.000677229
Clc1ccccc1,Cc1cccc(C)c1,-0.0599666
Cc1cccc(C)c1,Clc1ccccc1,-0.014176
Clc1ccccc1,Cc1cccc(C)c1,-0.0474544
Cc1cccc(C)c1,Clc1ccccc1,-0.0466661
Clc1ccccc1,Cc1cccc(C)c1,-0.02863
Cc1cccc(C)c1,Clc1ccccc1,-0.0815594
Clc1ccccc1,Cc1cccc(C)c1,-0.0162778
Cc1cccc(C)c1,Clc1ccccc1,-0.152793
Clc1ccccc1,Cc1cccc(C)c1,-0.00337569
Cc1cccc(C)c1,Clc1ccccc1,0.00119928
Clc1ccccc1,Cc1cccc(C)c1,-0.0308366
Cc1cccc(C)c1,Clc1ccccc1,0.00324473
Clc1ccccc1,Cc1cccc(C)c1,-0.0412752
Cc1cccc(C)c1,Clc1ccccc1,0.00375295
Clc1ccccc1,Cc1cccc(C)c1,-0.0428522
Cc1cccc(C)c1,Clc1ccccc1,0.000249969
Clc1ccccc1,Cc1cccc(C)c1,-0.0378836
Cc1cccc(C)c1,Clc1ccccc1,-0.00808157
Clc1ccccc1,Cc1cccc(C)c1,-0.0300428
Cc1cccc(C)c1,Clc1ccccc1,-0.0287936
Clc1ccccc1,Cc1cccc(C)c1,-0.0179848
Cc1cccc(C)c1,Clc1ccccc1,-0.0605762
Clc1ccccc1,Cc1cccc(C)c1,-0.00773181
Cc1cccc(C)c1,Clc1ccccc1,-0.0407522
Clc1ccccc1,Cc1cccc(C)c1,-0.000840353
Cc1cccc(C)c1,Clc1ccccc1,-0.0221423
Clc1ccccc1,Cc1cccc(C)c1,-0.00401806
Cc1cccc(C)c1,Clc1ccccc1,-0.0113471
Clc1ccccc1,Cc1cccc(C)c1,-0.00772476
Cc1cccc(C)c1,Clc1ccccc1,-0.00385442
Clc1ccccc1,Cc1cccc(C)c1,-0.0119046
Cc1cccc(C)c1,Clc1ccccc1,8.00E-05
Clc1ccccc1,Cc1cccc(C)c1,-0.0152639
Cc1cccc(C)c1,Clc1ccccc1,0.00176844
Clc1ccccc1,Cc1cccc(C)c1,-0.0173832
Cc1cccc(C)c1,Clc1ccccc1,0.00191816
Clc1ccccc1,Cc1cccc(C)c1,-0.0175888
Cc1cccc(C)c1,Clc1ccccc1,0.00120927
Clc1ccccc1,Cc1cccc(C)c1,-0.0151674
Cc1cccc(C)c1,Clc1ccccc1,0.000209978
Clc1ccccc1,Cc1cccc(C)c1,-0.00788097
Cc1cccc(C)c1,Clc1ccccc1,0.0139128
Clc1ccccc1,Cc1cccc(C)c1,0.000229974
Cc1cccc(C)c1,Clc1ccccc1,0.00863263
Clc1ccccc1,Cc1cccc(C)c1,0.00113935
Cc1cccc(C)c1,Clc1ccccc1,0.00537553
Clc1ccccc1,Cc1cccc(C)c1,0.00225745
Cc1cccc(C)c1,Clc1ccccc1,0.00291575
Clc1ccccc1,Cc1cccc(C)c1,0.00363339
Cc1cccc(C)c1,Clc1ccccc1,0.00140901
Clc1ccccc1,Cc1cccc(C)c1,0.00492784
Cc1cccc(C)c1,Clc1ccccc1,0.000519865
Clc1ccccc1,Cc1cccc(C)c1,0.00607153
Cc1cccc(C)c1,Clc1ccccc1,7.00E-05
Clc1ccccc1,Cc1cccc(C)c1,0.00692596
Cc1cccc(C)c1,Clc1ccccc1,-5.50E-05
Clc1ccccc1,Cc1cccc(C)c1,0.00732312
Cc1cccc(C)c1,Clc1ccccc1,-2.00E-05
Clc1ccccc1,Cc1cccc(C)c1,0.00699547
Cc1cccc(C)c1,COCCO,-0.00120873
COCCO,Cc1cccc(C)c1,-0.411969
Cc1cccc(C)c1,COCCO,-0.0101311
COCCO,Cc1cccc(C)c1,-0.332481
Cc1cccc(C)c1,COCCO,-0.0284715
COCCO,Cc1cccc(C)c1,-0.259197
Cc1cccc(C)c1,COCCO,-0.0551322
COCCO,Cc1cccc(C)c1,-0.196705
Cc1cccc(C)c1,COCCO,-0.0936296
COCCO,Cc1cccc(C)c1,-0.138921
Cc1cccc(C)c1,COCCO,-0.114349
COCCO,Cc1cccc(C)c1,-0.116072
Cc1cccc(C)c1,COCCO,-0.14102
COCCO,Cc1cccc(C)c1,-0.0920824
Cc1cccc(C)c1,COCCO,-0.193251
COCCO,Cc1cccc(C)c1,-0.0573633
Cc1cccc(C)c1,COCCO,-0.259809
COCCO,Cc1cccc(C)c1,-0.0286999
Cc1cccc(C)c1,COCCO,-0.332684
COCCO,Cc1cccc(C)c1,-0.0104484
Cc1cccc(C)c1,COCCO,-0.421028
COCCO,Cc1cccc(C)c1,-0.000891397
Cc1cccc(C)c1,COCCO,-0.00120873
COCCO,Cc1cccc(C)c1,-0.411969
Cc1cccc(C)c1,COCCO,-0.0101311
COCCO,Cc1cccc(C)c1,-0.332481
Cc1cccc(C)c1,COCCO,-0.0284715
COCCO,Cc1cccc(C)c1,-0.259197
Cc1cccc(C)c1,COCCO,-0.0551322
COCCO,Cc1cccc(C)c1,-0.196705
Cc1cccc(C)c1,COCCO,-0.0936296
COCCO,Cc1cccc(C)c1,-0.138921
Cc1cccc(C)c1,COCCO,-0.114349
COCCO,Cc1cccc(C)c1,-0.116072
Cc1cccc(C)c1,COCCO,-0.14102
COCCO,Cc1cccc(C)c1,-0.0920824
Cc1cccc(C)c1,COCCO,-0.193251
COCCO,Cc1cccc(C)c1,-0.0573633
Cc1cccc(C)c1,COCCO,-0.259809
COCCO,Cc1cccc(C)c1,-0.0286999
Cc1cccc(C)c1,COCCO,-0.332684
COCCO,Cc1cccc(C)c1,-0.0104484
Cc1cccc(C)c1,COCCO,-0.421028
COCCO,Cc1cccc(C)c1,-0.000891397
Cc1cccc(C)c1,C1CCOC1,0.000189982
C1CCOC1,Cc1cccc(C)c1,0.0923877
Cc1cccc(C)c1,C1CCOC1,0.00128917
C1CCOC1,Cc1cccc(C)c1,0.0837987
Cc1cccc(C)c1,C1CCOC1,0.0033145
C1CCOC1,Cc1cccc(C)c1,0.0746807
Cc1cccc(C)c1,C1CCOC1,0.00663792
C1CCOC1,Cc1cccc(C)c1,0.0645698
Cc1cccc(C)c1,C1CCOC1,0.0117408
C1CCOC1,Cc1cccc(C)c1,0.0535976
Cc1cccc(C)c1,C1CCOC1,0.0182131
C1CCOC1,Cc1cccc(C)c1,0.0434713
Cc1cccc(C)c1,C1CCOC1,0.0247804
C1CCOC1,Cc1cccc(C)c1,0.0356374
Cc1cccc(C)c1,C1CCOC1,0.0323801
C1CCOC1,Cc1cccc(C)c1,0.0285389
Cc1cccc(C)c1,C1CCOC1,0.0403547
C1CCOC1,Cc1cccc(C)c1,0.0226711
Cc1cccc(C)c1,C1CCOC1,0.0518806
C1CCOC1,Cc1cccc(C)c1,0.0161883
Cc1cccc(C)c1,C1CCOC1,0.0641572
C1CCOC1,Cc1cccc(C)c1,0.0111081
Cc1cccc(C)c1,C1CCOC1,0.077868
C1CCOC1,Cc1cccc(C)c1,0.00702526
Cc1cccc(C)c1,C1CCOC1,0.0975713
C1CCOC1,Cc1cccc(C)c1,0.00319489
Cc1cccc(C)c1,C1CCOC1,0.120233
C1CCOC1,Cc1cccc(C)c1,0.000839647
Cc1cccc(C)c1,C1CCOC1,0.000329946
C1CCOC1,Cc1cccc(C)c1,0.117472
Cc1cccc(C)c1,C1CCOC1,0.00186825
C1CCOC1,Cc1cccc(C)c1,0.10527
Cc1cccc(C)c1,C1CCOC1,0.00452973
C1CCOC1,Cc1cccc(C)c1,0.0933173
Cc1cccc(C)c1,C1CCOC1,0.00874168
C1CCOC1,Cc1cccc(C)c1,0.0805103
Cc1cccc(C)c1,C1CCOC1,0.0150955
C1CCOC1,Cc1cccc(C)c1,0.0668452
Cc1cccc(C)c1,C1CCOC1,0.0230913
C1CCOC1,Cc1cccc(C)c1,0.0543177
Cc1cccc(C)c1,C1CCOC1,0.0312176
C1CCOC1,Cc1cccc(C)c1,0.0446196
Cc1cccc(C)c1,C1CCOC1,0.040662
C1CCOC1,Cc1cccc(C)c1,0.0358014
Cc1cccc(C)c1,C1CCOC1,0.0506076
C1CCOC1,Cc1cccc(C)c1,0.0284806
Cc1cccc(C)c1,C1CCOC1,0.0650571
C1CCOC1,Cc1cccc(C)c1,0.0203515
Cc1cccc(C)c1,C1CCOC1,0.0805287
C1CCOC1,Cc1cccc(C)c1,0.0139621
Cc1cccc(C)c1,C1CCOC1,0.0978161
C1CCOC1,Cc1cccc(C)c1,0.00882098
Cc1cccc(C)c1,C1CCOC1,0.122616
C1CCOC1,Cc1cccc(C)c1,0.00399202
Cc1cccc(C)c1,C1CCOC1,0.150951
C1CCOC1,Cc1cccc(C)c1,0.00104945
Cc1cccc(C)c1,C1CCOC1,0.000449899
C1CCOC1,Cc1cccc(C)c1,0.140918
Cc1cccc(C)c1,C1CCOC1,0.00241708
C1CCOC1,Cc1cccc(C)c1,0.125354
Cc1cccc(C)c1,C1CCOC1,0.00565399
C1CCOC1,Cc1cccc(C)c1,0.110754
Cc1cccc(C)c1,C1CCOC1,0.0107025
C1CCOC1,Cc1cccc(C)c1,0.0954193
Cc1cccc(C)c1,C1CCOC1,0.0182229
C1CCOC1,Cc1cccc(C)c1,0.079227
Cc1cccc(C)c1,C1CCOC1,0.0276638
C1CCOC1,Cc1cccc(C)c1,0.0644573
Cc1cccc(C)c1,C1CCOC1,0.037238
C1CCOC1,Cc1cccc(C)c1,0.0530193
Cc1cccc(C)c1,C1CCOC1,0.0483996
C1CCOC1,Cc1cccc(C)c1,0.0425996
Cc1cccc(C)c1,C1CCOC1,0.0601916
C1CCOC1,Cc1cccc(C)c1,0.0339279
Cc1cccc(C)c1,C1CCOC1,0.0773776
C1CCOC1,Cc1cccc(C)c1,0.0242535
Cc1cccc(C)c1,C1CCOC1,0.0958373
C1CCOC1,Cc1cccc(C)c1,0.0166309
Cc1cccc(C)c1,C1CCOC1,0.116467
C1CCOC1,Cc1cccc(C)c1,0.0104848
Cc1cccc(C)c1,C1CCOC1,0.146029
C1CCOC1,Cc1cccc(C)c1,0.00473875
Cc1cccc(C)c1,C1CCOC1,0.179676
C1CCOC1,Cc1cccc(C)c1,0.00123923
Cc1cccc(C)c1,C1CCOC1,0.000569838
C1CCOC1,Cc1cccc(C)c1,0.162901
Cc1cccc(C)c1,C1CCOC1,0.00292572
C1CCOC1,Cc1cccc(C)c1,0.14417
Cc1cccc(C)c1,C1CCOC1,0.00671739
C1CCOC1,Cc1cccc(C)c1,0.1271
Cc1cccc(C)c1,C1CCOC1,0.0125312
C1CCOC1,Cc1cccc(C)c1,0.109392
Cc1cccc(C)c1,C1CCOC1,0.0211547
C1CCOC1,Cc1cccc(C)c1,0.0908366
Cc1cccc(C)c1,C1CCOC1,0.0319346
C1CCOC1,Cc1cccc(C)c1,0.0739565
Cc1cccc(C)c1,C1CCOC1,0.0428871
C1CCOC1,Cc1cccc(C)c1,0.0608975
Cc1cccc(C)c1,C1CCOC1,0.0556523
C1CCOC1,Cc1cccc(C)c1,0.0489711
Cc1cccc(C)c1,C1CCOC1,0.0691715
C1CCOC1,Cc1cccc(C)c1,0.0390188
Cc1cccc(C)c1,C1CCOC1,0.0889354
C1CCOC1,Cc1cccc(C)c1,0.027907
Cc1cccc(C)c1,C1CCOC1,0.110181
C1CCOC1,Cc1cccc(C)c1,0.0191357
Cc1cccc(C)c1,C1CCOC1,0.133954
C1CCOC1,Cc1cccc(C)c1,0.012057
Cc1cccc(C)c1,C1CCOC1,0.167969
C1CCOC1,Cc1cccc(C)c1,0.0054352
Cc1cccc(C)c1,C1CCOC1,0.206591
C1CCOC1,Cc1cccc(C)c1,0.00141899
Cc1cccc(C)c1,C1CCOC1,0.000189982
C1CCOC1,Cc1cccc(C)c1,0.0923877
Cc1cccc(C)c1,C1CCOC1,0.00128917
C1CCOC1,Cc1cccc(C)c1,0.0837987
Cc1cccc(C)c1,C1CCOC1,0.0033145
C1CCOC1,Cc1cccc(C)c1,0.0746807
Cc1cccc(C)c1,C1CCOC1,0.00663792
C1CCOC1,Cc1cccc(C)c1,0.0645698
Cc1cccc(C)c1,C1CCOC1,0.0117408
C1CCOC1,Cc1cccc(C)c1,0.0535976
Cc1cccc(C)c1,C1CCOC1,0.0182131
C1CCOC1,Cc1cccc(C)c1,0.0434713
Cc1cccc(C)c1,C1CCOC1,0.0247804
C1CCOC1,Cc1cccc(C)c1,0.0356374
Cc1cccc(C)c1,C1CCOC1,0.0323801
C1CCOC1,Cc1cccc(C)c1,0.0285389
Cc1cccc(C)c1,C1CCOC1,0.0403547
C1CCOC1,Cc1cccc(C)c1,0.0226711
Cc1cccc(C)c1,C1CCOC1,0.0518806
C1CCOC1,Cc1cccc(C)c1,0.0161883
Cc1cccc(C)c1,C1CCOC1,0.0641572
C1CCOC1,Cc1cccc(C)c1,0.0111081
Cc1cccc(C)c1,C1CCOC1,0.077868
C1CCOC1,Cc1cccc(C)c1,0.00702526
Cc1cccc(C)c1,C1CCOC1,0.0975713
C1CCOC1,Cc1cccc(C)c1,0.00319489
Cc1cccc(C)c1,C1CCOC1,0.120233
C1CCOC1,Cc1cccc(C)c1,0.000839647
Cc1cccc(C)c1,C1CCOC1,0.000329946
C1CCOC1,Cc1cccc(C)c1,0.117472
Cc1cccc(C)c1,C1CCOC1,0.00186825
C1CCOC1,Cc1cccc(C)c1,0.10527
Cc1cccc(C)c1,C1CCOC1,0.00452973
C1CCOC1,Cc1cccc(C)c1,0.0933173
Cc1cccc(C)c1,C1CCOC1,0.00874168
C1CCOC1,Cc1cccc(C)c1,0.0805103
Cc1cccc(C)c1,C1CCOC1,0.0150955
C1CCOC1,Cc1cccc(C)c1,0.0668452
Cc1cccc(C)c1,C1CCOC1,0.0230913
C1CCOC1,Cc1cccc(C)c1,0.0543177
Cc1cccc(C)c1,C1CCOC1,0.0312176
C1CCOC1,Cc1cccc(C)c1,0.0446196
Cc1cccc(C)c1,C1CCOC1,0.040662
C1CCOC1,Cc1cccc(C)c1,0.0358014
Cc1cccc(C)c1,C1CCOC1,0.0506076
C1CCOC1,Cc1cccc(C)c1,0.0284806
Cc1cccc(C)c1,C1CCOC1,0.0650571
C1CCOC1,Cc1cccc(C)c1,0.0203515
Cc1cccc(C)c1,C1CCOC1,0.0805287
C1CCOC1,Cc1cccc(C)c1,0.0139621
Cc1cccc(C)c1,C1CCOC1,0.0978161
C1CCOC1,Cc1cccc(C)c1,0.00882098
Cc1cccc(C)c1,C1CCOC1,0.122616
C1CCOC1,Cc1cccc(C)c1,0.00399202
Cc1cccc(C)c1,C1CCOC1,0.150951
C1CCOC1,Cc1cccc(C)c1,0.00104945
Cc1cccc(C)c1,C1CCOC1,0.000449899
C1CCOC1,Cc1cccc(C)c1,0.140918
Cc1cccc(C)c1,C1CCOC1,0.00241708
C1CCOC1,Cc1cccc(C)c1,0.125354
Cc1cccc(C)c1,C1CCOC1,0.00565399
C1CCOC1,Cc1cccc(C)c1,0.110754
Cc1cccc(C)c1,C1CCOC1,0.0107025
C1CCOC1,Cc1cccc(C)c1,0.0954193
Cc1cccc(C)c1,C1CCOC1,0.0182229
C1CCOC1,Cc1cccc(C)c1,0.079227
Cc1cccc(C)c1,C1CCOC1,0.0276638
C1CCOC1,Cc1cccc(C)c1,0.0644573
Cc1cccc(C)c1,C1CCOC1,0.037238
C1CCOC1,Cc1cccc(C)c1,0.0530193
Cc1cccc(C)c1,C1CCOC1,0.0483996
C1CCOC1,Cc1cccc(C)c1,0.0425996
Cc1cccc(C)c1,C1CCOC1,0.0601916
C1CCOC1,Cc1cccc(C)c1,0.0339279
Cc1cccc(C)c1,C1CCOC1,0.0773776
C1CCOC1,Cc1cccc(C)c1,0.0242535
Cc1cccc(C)c1,C1CCOC1,0.0958373
C1CCOC1,Cc1cccc(C)c1,0.0166309
Cc1cccc(C)c1,C1CCOC1,0.116467
C1CCOC1,Cc1cccc(C)c1,0.0104848
Cc1cccc(C)c1,C1CCOC1,0.146029
C1CCOC1,Cc1cccc(C)c1,0.00473875
Cc1cccc(C)c1,C1CCOC1,0.179676
C1CCOC1,Cc1cccc(C)c1,0.00123923
Cc1cccc(C)c1,C1CCOC1,0.000569838
C1CCOC1,Cc1cccc(C)c1,0.162901
Cc1cccc(C)c1,C1CCOC1,0.00292572
C1CCOC1,Cc1cccc(C)c1,0.14417
Cc1cccc(C)c1,C1CCOC1,0.00671739
C1CCOC1,Cc1cccc(C)c1,0.1271
Cc1cccc(C)c1,C1CCOC1,0.0125312
C1CCOC1,Cc1cccc(C)c1,0.109392
Cc1cccc(C)c1,C1CCOC1,0.0211547
C1CCOC1,Cc1cccc(C)c1,0.0908366
Cc1cccc(C)c1,C1CCOC1,0.0319346
C1CCOC1,Cc1cccc(C)c1,0.0739565
Cc1cccc(C)c1,C1CCOC1,0.0428871
C1CCOC1,Cc1cccc(C)c1,0.0608975
Cc1cccc(C)c1,C1CCOC1,0.0556523
C1CCOC1,Cc1cccc(C)c1,0.0489711
Cc1cccc(C)c1,C1CCOC1,0.0691715
C1CCOC1,Cc1cccc(C)c1,0.0390188
Cc1cccc(C)c1,C1CCOC1,0.0889354
C1CCOC1,Cc1cccc(C)c1,0.027907
Cc1cccc(C)c1,C1CCOC1,0.110181
C1CCOC1,Cc1cccc(C)c1,0.0191357
Cc1cccc(C)c1,C1CCOC1,0.133954
C1CCOC1,Cc1cccc(C)c1,0.012057
Cc1cccc(C)c1,C1CCOC1,0.167969
C1CCOC1,Cc1cccc(C)c1,0.0054352
Cc1cccc(C)c1,C1CCOC1,0.206591
C1CCOC1,Cc1cccc(C)c1,0.00141899
Cc1cccc(C)c1,C1CCOC1,0.000329946
C1CCOC1,Cc1cccc(C)c1,0.117472
Cc1cccc(C)c1,C1CCOC1,0.00186825
C1CCOC1,Cc1cccc(C)c1,0.10527
Cc1cccc(C)c1,C1CCOC1,0.00452973
C1CCOC1,Cc1cccc(C)c1,0.0933173
Cc1cccc(C)c1,C1CCOC1,0.00874168
C1CCOC1,Cc1cccc(C)c1,0.0805103
Cc1cccc(C)c1,C1CCOC1,0.0150955
C1CCOC1,Cc1cccc(C)c1,0.0668452
Cc1cccc(C)c1,C1CCOC1,0.0230913
C1CCOC1,Cc1cccc(C)c1,0.0543177
Cc1cccc(C)c1,C1CCOC1,0.0312176
C1CCOC1,Cc1cccc(C)c1,0.0446196
Cc1cccc(C)c1,C1CCOC1,0.040662
C1CCOC1,Cc1cccc(C)c1,0.0358014
Cc1cccc(C)c1,C1CCOC1,0.0506076
C1CCOC1,Cc1cccc(C)c1,0.0284806
Cc1cccc(C)c1,C1CCOC1,0.0650571
C1CCOC1,Cc1cccc(C)c1,0.0203515
Cc1cccc(C)c1,C1CCOC1,0.0805287
C1CCOC1,Cc1cccc(C)c1,0.0139621
Cc1cccc(C)c1,C1CCOC1,0.0978161
C1CCOC1,Cc1cccc(C)c1,0.00882098
Cc1cccc(C)c1,C1CCOC1,0.122616
C1CCOC1,Cc1cccc(C)c1,0.00399202
Cc1cccc(C)c1,C1CCOC1,0.150951
C1CCOC1,Cc1cccc(C)c1,0.00104945
Cc1cccc(C)c1,CCCCCC,-0.0305221
CCCCCC,Cc1cccc(C)c1,-0.317513
Cc1cccc(C)c1,CCCCCC,-0.0368746
CCCCCC,Cc1cccc(C)c1,-0.279192
Cc1cccc(C)c1,CCCCCC,-0.0720912
CCCCCC,Cc1cccc(C)c1,-0.140827
Cc1cccc(C)c1,CCCCCC,-0.0868136
CCCCCC,Cc1cccc(C)c1,-0.106965
Cc1cccc(C)c1,CCCCCC,-0.105273
CCCCCC,Cc1cccc(C)c1,-0.0772915
Cc1cccc(C)c1,CCCCCC,-0.10929
CCCCCC,Cc1cccc(C)c1,-0.0721622
Cc1cccc(C)c1,CCCCCC,-0.148705
CCCCCC,Cc1cccc(C)c1,-0.0348927
Cc1cccc(C)c1,CCCCCC,-0.18012
CCCCCC,Cc1cccc(C)c1,-0.0146904
Cc1cccc(C)c1,CCCCCC,-0.191612
CCCCCC,Cc1cccc(C)c1,-0.0086261
Cc1cccc(C)c1,CCCCCC,-0.217296
CCCCCC,Cc1cccc(C)c1,0.00280606
Cc1cccc(C)c1,CCCCCC,-0.245794
CCCCCC,Cc1cccc(C)c1,0.0120965
Cc1cccc(C)c1,CCCCCC,-0.235296
CCCCCC,Cc1cccc(C)c1,0.0104156
Cc1cccc(C)c1,CCCCCC,-0.185476
CCCCCC,Cc1cccc(C)c1,0.00515668
Cc1cccc(C)c1,C1CCCCC1,-0.581135
C1CCCCC1,Cc1cccc(C)c1,-0.0146883
Cc1cccc(C)c1,C1CCCCC1,-0.37683
C1CCCCC1,Cc1cccc(C)c1,-0.0506272
Cc1cccc(C)c1,C1CCCCC1,-0.223307
C1CCCCC1,Cc1cccc(C)c1,-0.102416
Cc1cccc(C)c1,C1CCCCC1,-0.137268
C1CCCCC1,Cc1cccc(C)c1,-0.149226
Cc1cccc(C)c1,C1CCCCC1,-0.0778134
C1CCCCC1,Cc1cccc(C)c1,-0.197618
Cc1cccc(C)c1,C1CCCCC1,-0.0494413
C1CCCCC1,Cc1cccc(C)c1,-0.231183
Cc1cccc(C)c1,C1CCCCC1,-0.026113
C1CCCCC1,Cc1cccc(C)c1,-0.272673
Cc1cccc(C)c1,C1CCCCC1,-0.0133406
C1CCCCC1,Cc1cccc(C)c1,-0.311662
Cc1cccc(C)c1,C1CCCCC1,-0.00429521
C1CCCCC1,Cc1cccc(C)c1,-0.365561
Cc1cccc(C)c1,C1CCCCC1,-0.536125
C1CCCCC1,Cc1cccc(C)c1,-0.0149238
Cc1cccc(C)c1,C1CCCCC1,-0.337885
C1CCCCC1,Cc1cccc(C)c1,-0.0496757
Cc1cccc(C)c1,C1CCCCC1,-0.196542
C1CCCCC1,Cc1cccc(C)c1,-0.097238
Cc1cccc(C)c1,C1CCCCC1,-0.120802
C1CCCCC1,Cc1cccc(C)c1,-0.138395
Cc1cccc(C)c1,C1CCCCC1,-0.070076
C1CCCCC1,Cc1cccc(C)c1,-0.179651
Cc1cccc(C)c1,C1CCCCC1,-0.0460649
C1CCCCC1,Cc1cccc(C)c1,-0.208064
Cc1cccc(C)c1,C1CCCCC1,-0.0255455
C1CCCCC1,Cc1cccc(C)c1,-0.24468
Cc1cccc(C)c1,C1CCCCC1,-0.0132808
C1CCCCC1,Cc1cccc(C)c1,-0.28225
Cc1cccc(C)c1,C1CCCCC1,-0.00423295
C1CCCCC1,Cc1cccc(C)c1,-0.336168
Cc1cccc(C)c1,C1CCCCC1,-0.493901
C1CCCCC1,Cc1cccc(C)c1,-0.0151461
Cc1cccc(C)c1,C1CCCCC1,-0.301352
C1CCCCC1,Cc1cccc(C)c1,-0.0487828
Cc1cccc(C)c1,C1CCCCC1,-0.171434
C1CCCCC1,Cc1cccc(C)c1,-0.0923818
Cc1cccc(C)c1,C1CCCCC1,-0.105356
C1CCCCC1,Cc1cccc(C)c1,-0.128235
Cc1cccc(C)c1,C1CCCCC1,-0.0628173
C1CCCCC1,Cc1cccc(C)c1,-0.162794
Cc1cccc(C)c1,C1CCCCC1,-0.0428971
C1CCCCC1,Cc1cccc(C)c1,-0.186377
Cc1cccc(C)c1,C1CCCCC1,-0.0250132
C1CCCCC1,Cc1cccc(C)c1,-0.21842
Cc1cccc(C)c1,C1CCCCC1,-0.0132241
C1CCCCC1,Cc1cccc(C)c1,-0.25466
Cc1cccc(C)c1,C1CCCCC1,-0.00417571
C1CCCCC1,Cc1cccc(C)c1,-0.308595
Cc1cccc(C)c1,C1CCCCC1,-0.00195491
C1CCCCC1,Cc1cccc(C)c1,-0.376805
Cc1cccc(C)c1,C1CCCCC1,-0.00987156
C1CCCCC1,Cc1cccc(C)c1,-0.312061
Cc1cccc(C)c1,C1CCCCC1,-0.0181854
C1CCCCC1,Cc1cccc(C)c1,-0.278709
