MolFrac_1,T
0.6086,298.15
1.0,298.15
0.0,293.15
0.0,298.15
0.0,303.15
0.0,308.15
0.0,313.15
0.059,293.15
0.059,298.15
0.059,303.15
0.059,308.15
0.059,313.15
0.12,293.15
0.12,298.15
0.12,303.15
0.12,308.15
0.12,313.15
0.19,293.15
0.19,298.15
0.19,303.15
0.19,308.15
0.19,313.15
0.27,293.15
0.27,298.15
0.27,303.15
0.27,308.15
0.27,313.15
0.36,293.15
0.36,298.15
0.36,303.15
0.36,308.15
0.36,313.15
0.46,293.15
0.46,298.15
0.46,303.15
0.46,308.15
0.46,313.15
0.57,293.15
0.57,298.15
0.57,303.15
0.57,308.15
0.57,313.15
0.69,293.15
0.69,298.15
0.69,303.15
0.69,308.15
0.69,313.15
0.83,293.15
0.83,298.15
0.83,303.15
0.83,308.15
0.83,313.15
1.0,293.15
1.0,298.15
1.0,303.15
1.0,308.15
1.0,313.15
0.0,293.15
0.0,298.15
0.0,303.15
0.0,308.15
0.0,313.15
0.28,293.15
0.28,298.15
0.28,303.15
0.28,308.15
0.28,313.15
0.54,293.15
0.54,298.15
0.54,303.15
0.54,308.15
0.54,313.15
0.78,293.15
0.78,298.15
0.78,303.15
0.78,308.15
0.78,313.15
1.0,293.15
1.0,298.15
1.0,303.15
1.0,308.15
1.0,313.15
0.0,293.15
0.0,298.15
0.0,303.15
0.24,293.15
0.24,298.15
0.24,303.15
0.49,293.15
0.49,298.15
0.49,303.15
0.49,308.15
0.74,293.15
0.74,298.15
0.74,303.15
0.74,308.15
0.21,293.15
0.21,298.15
0.21,303.15
0.21,308.15
0.45,293.15
0.45,298.15
0.45,303.15
0.45,308.15
0.71,293.15
0.71,298.15
0.71,303.15
0.71,308.15
0.0,293.15
0.0,298.15
0.0,303.15
0.0,308.15
0.0,313.15
0.0,323.15
0.16,293.15
0.16,298.15
0.16,303.15
0.16,308.15
0.16,313.15
0.37,293.15
0.37,298.15
0.37,303.15
0.37,308.15
0.37,313.15
0.64,293.15
0.64,298.15
0.64,303.15
0.64,308.15
0.64,313.15
0.0,298.15
0.04829,298.15
0.0981799999999999,298.15
0.1362,298.15
0.146,298.15
0.2038,298.15
0.2149,298.15
0.2178,298.15
0.2213,298.15
0.2883,298.15
0.3655,298.15
0.4148,298.15
0.6057,298.15
1.0,298.15
0.0,298.15
0.04551,298.15
0.1256,298.15
0.1927,298.15
0.2218,298.15
0.3108,298.15
0.3983,298.15
0.474,298.15
1.0,298.15
0.0,298.15
0.1339,298.15
0.2921,298.15
0.4179,298.15
0.7231,298.15
0.7711,298.15
0.8704,298.15
0.9645,298.15
1.0,298.15
0.0,298.15
0.2757,298.15
0.6446,298.15
0.8737,298.15
0.9369,298.15
1.0,298.15
0.0,298.15
0.0273,298.15
0.0298,298.15
0.0805299999999999,298.15
0.09045,298.15
0.09346,298.15
0.1058,298.15
0.1398,298.15
0.1466,298.15
0.1869,298.15
0.2519,298.15
0.2571,298.15
0.357,298.15
0.4047,298.15
0.4101,298.15
0.5365,298.15
0.6095,298.15
0.6596,298.15
1.0,298.15
0.0,298.15
0.0454,298.15
0.09639,298.15
0.2211,298.15
0.3891,298.15
0.6241,298.15
0.8038,298.15
1.0,298.15
0.0,298.15
0.2992,298.15
0.4997,298.15
0.6607,298.15
0.7996,298.15
1.0,298.15
0.0,298.15
0.3943,298.15
0.5905,298.15
0.7944,298.15
0.8965,298.15
1.0,298.15
0.0,298.15
0.02104,298.15
0.04558,298.15
0.2966,298.15
0.6032,298.15
1.0,298.15
0.0,298.15
0.02168,298.15
0.05477,298.15
0.1594,298.15
0.2977,298.15
0.6247,298.15
1.0,298.15
0.0,298.15
0.014,298.15
0.0223,298.15
0.0243,298.15
0.0396,298.15
0.0621899999999999,298.15
0.09278,298.15
0.1182,298.15
0.134,298.15
0.1857,298.15
0.2186,298.15
0.2545,298.15
0.2664,298.15
0.2971,298.15
0.3473,298.15
0.406,298.15
0.4736,298.15
0.6246,298.15
0.811,298.15
1.0,298.15
0.0,298.15
0.0118,298.15
0.02471,298.15
0.0389,298.15
0.04031,298.15
0.06665,298.15
0.089,298.15
0.1102,298.15
0.1113,298.15
0.121,298.15
0.1327,298.15
0.1572,298.15
0.1857,298.15
0.2191,298.15
0.2553,298.15
1.0,298.15
0.0,298.23
0.0244,298.23
0.05159,298.23
0.08889,298.23
0.1311,298.23
0.1829,298.23
0.2523,298.23
0.3128,298.23
0.3507,298.23
0.4791,298.23
0.6741,298.23
0.8126,298.23
0.8863,298.23
0.9185,298.23
0.9575,298.23
1.0,298.23
0.0,293.15
0.0,298.15
0.0,303.15
0.09267,293.15
0.09267,298.15
0.09267,303.15
0.2044,293.15
0.2044,298.15
0.2044,303.15
0.2466,293.15
0.2466,298.15
0.2466,303.15
0.388,293.15
0.388,298.15
0.388,303.15
0.5822,293.15
0.5822,298.15
0.5822,303.15
0.9798,293.15
0.9798,298.15
0.9798,303.15
0.0,293.15
0.0,298.15
0.0,303.15
0.06928,293.15
0.06928,298.15
0.06928,303.15
0.14,293.15
0.14,298.15
0.14,303.15
0.3175,293.15
0.3175,298.15
0.3175,303.15
0.5454,293.15
0.5454,298.15
0.5454,303.15
0.9722,293.15
0.9722,298.15
0.9722,303.15
0.4241,308.15
0.5384,308.15
0.6648,308.15
0.8185,308.15
0.0,298.15
0.0514,298.15
0.1091,298.15
0.1735,298.15
0.2467,298.15
0.3289,298.15
0.4241,298.15
0.5384,298.15
0.6648,298.15
0.8185,298.15
1.0,298.15
0.0,303.15
0.0514,303.15
0.1091,303.15
0.1735,303.15
0.2467,303.15
0.3289,303.15
0.4241,303.15
0.5384,303.15
0.6648,303.15
0.8185,303.15
1.0,303.15
0.0,308.15
0.0514,308.15
0.1091,308.15
0.1735,308.15
0.2467,308.15
0.3289,308.15
0.0,313.15
0.0514,313.15
0.1091,313.15
0.1735,313.15
0.2467,313.15
0.3289,313.15
0.4241,313.15
0.5384,313.15
0.6648,313.15
0.8185,313.15
1.0,313.15
1.0,308.15
0.0,298.15
0.0546,298.15
0.1152,298.15
0.1825,298.15
0.2572,298.15
0.3416,298.15
0.4094,298.15
0.4773,298.15
0.5836,298.15
0.7044,298.15
1.0,298.15
0.0,303.15
0.0546,303.15
0.1152,303.15
0.1825,303.15
0.2572,303.15
0.3416,303.15
0.4094,303.15
0.4773,303.15
0.5836,303.15
